"outcome","tau","n_e","n_o","alpha_o_id","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ybin",0,1000,1000,"02km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0,1000,1000,"05km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0,1000,1000,"10km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0.05,1000,1000,"02km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.05,1000,1000,"05km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.05,1000,1000,"10km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.1,1000,1000,"02km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.1,1000,1000,"05km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.1,1000,1000,"10km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.15,1000,1000,"02km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.15,1000,1000,"05km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.15,1000,1000,"10km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.2,1000,1000,"02km",-4.46153495158534,0.006,0.094654725092249,-0.0923675091690201,0.020703078687347,0.0196617467642925,500,0,"PTE"
"Ybin",0.2,1000,1000,"05km",-4.46153495158534,0.006,0.094654725092249,-0.0923675091690201,0.020703078687347,0.0196617467642925,500,0,"PTE"
"Ybin",0.2,1000,1000,"10km",-4.46153495158534,0.006,0.094654725092249,-0.0923675091690201,0.020703078687347,0.0196617467642925,500,0,"PTE"
"Ybin",0,1000,2000,"02km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0,1000,2000,"05km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0,1000,2000,"10km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0.05,1000,2000,"02km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.05,1000,2000,"05km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.05,1000,2000,"10km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.1,1000,2000,"02km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.1,1000,2000,"05km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.1,1000,2000,"10km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.15,1000,2000,"02km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.15,1000,2000,"05km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.15,1000,2000,"10km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.2,1000,2000,"02km",-4.46153495158534,0.006,0.094654725092249,-0.0923675091690201,0.020703078687347,0.0196617467642925,500,0,"PTE"
"Ybin",0.2,1000,2000,"05km",-4.46153495158534,0.006,0.094654725092249,-0.0923675091690201,0.020703078687347,0.0196617467642925,500,0,"PTE"
"Ybin",0.2,1000,2000,"10km",-4.46153495158534,0.006,0.094654725092249,-0.0923675091690201,0.020703078687347,0.0196617467642925,500,0,"PTE"
"Ybin",0,1000,500,"02km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0,1000,500,"05km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0,1000,500,"10km",0.0178967674772344,0.942,0.0172357136626457,0.00030872295054742,0.0172502073874588,0.0171505154975123,500,0,"PTE"
"Ybin",0.05,1000,500,"02km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.05,1000,500,"05km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.05,1000,500,"10km",-1.24100837643482,0.736,0.0293055717083554,-0.0228281329597938,0.0183948258474892,0.0179399712728843,500,0,"PTE"
"Ybin",0.1,1000,500,"02km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.1,1000,500,"05km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.1,1000,500,"10km",-2.34031405509129,0.338,0.0492796058129216,-0.045323050882828,0.0193662259918616,0.0186031745941564,500,0,"PTE"
"Ybin",0.15,1000,500,"02km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.15,1000,500,"05km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
"Ybin",0.15,1000,500,"10km",-3.52285288887538,0.058,0.0725713284932221,-0.0698183538309967,0.0198186969576482,0.0191694425801744,500,0,"PTE"
