"outcome","tau","n_e","n_o","n_eo","alpha_o_id","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ybin",0,1000,1000,100,"02km",-0.00824182906789043,0.95,0.0813259305565465,-0.000670922867526574,0.0814046083702999,0.0806324948301175,500,0,"Benchmark"
"Ybin",0,1000,1000,100,"05km",-0.00824182906789043,0.95,0.0813259305565465,-0.000670922867526574,0.0814046083702999,0.0806324948301175,500,0,"Benchmark"
"Ybin",0,1000,1000,100,"10km",-0.00824182906789043,0.95,0.0813259305565465,-0.000670922867526574,0.0814046083702999,0.0806324948301175,500,0,"Benchmark"
"Ybin",0.05,1000,1000,100,"02km",-0.014490993350189,0.946,0.0811663788142591,-0.00117723555994894,0.0812391208456108,0.0843390869167758,500,0,"Benchmark"
"Ybin",0.05,1000,1000,100,"05km",-0.014490993350189,0.946,0.0811663788142591,-0.00117723555994894,0.0812391208456108,0.0843390869167758,500,0,"Benchmark"
"Ybin",0.05,1000,1000,100,"10km",-0.014490993350189,0.946,0.0811663788142591,-0.00117723555994894,0.0812391208456108,0.0843390869167758,500,0,"Benchmark"
"Ybin",0.1,1000,1000,100,"02km",0.00267908370023641,0.948,0.0853980918508553,0.00022901694477182,0.0854833108616991,0.086831119628396,500,0,"Benchmark"
"Ybin",0.1,1000,1000,100,"05km",0.00267908370023641,0.948,0.0853980918508553,0.00022901694477182,0.0854833108616991,0.086831119628396,500,0,"Benchmark"
"Ybin",0.1,1000,1000,100,"10km",0.00267908370023641,0.948,0.0853980918508553,0.00022901694477182,0.0854833108616991,0.086831119628396,500,0,"Benchmark"
"Ybin",0.15,1000,1000,100,"02km",0.0263883120726759,0.946,0.0898866118378981,0.00237350358615608,0.0899452598415247,0.0886836392822997,500,0,"Benchmark"
"Ybin",0.15,1000,1000,100,"05km",0.0263883120726759,0.946,0.0898866118378981,0.00237350358615608,0.0899452598415247,0.0886836392822997,500,0,"Benchmark"
"Ybin",0.15,1000,1000,100,"10km",0.0263883120726759,0.946,0.0898866118378981,0.00237350358615608,0.0899452598415247,0.0886836392822997,500,0,"Benchmark"
"Ybin",0.2,1000,1000,100,"02km",0.0723033472344434,0.946,0.0929902852030837,0.00671268409475458,0.092840571723308,0.0899089007428569,500,0,"Benchmark"
"Ybin",0.2,1000,1000,100,"05km",0.0723033472344434,0.946,0.0929902852030837,0.00671268409475458,0.092840571723308,0.0899089007428569,500,0,"Benchmark"
"Ybin",0.2,1000,1000,100,"10km",0.0723033472344434,0.946,0.0929902852030837,0.00671268409475458,0.092840571723308,0.0899089007428569,500,0,"Benchmark"
"Ybin",0,1000,1000,250,"02km",-0.00742869270585868,0.928,0.053284876213214,-0.000396222448355547,0.053336766513853,0.0508496412128456,500,0,"Benchmark"
"Ybin",0,1000,1000,250,"05km",-0.00742869270585868,0.928,0.053284876213214,-0.000396222448355547,0.053336766513853,0.0508496412128456,500,0,"Benchmark"
"Ybin",0,1000,1000,250,"10km",-0.00742869270585868,0.928,0.053284876213214,-0.000396222448355547,0.053336766513853,0.0508496412128456,500,0,"Benchmark"
"Ybin",0.05,1000,1000,250,"02km",0.0196511908865231,0.95,0.0527109630623388,0.00103667003968366,0.0527535478979348,0.0531217187084854,500,0,"Benchmark"
"Ybin",0.05,1000,1000,250,"05km",0.0196511908865231,0.95,0.0527109630623388,0.00103667003968366,0.0527535478979348,0.0531217187084854,500,0,"Benchmark"
"Ybin",0.05,1000,1000,250,"10km",0.0196511908865231,0.95,0.0527109630623388,0.00103667003968366,0.0527535478979348,0.0531217187084854,500,0,"Benchmark"
"Ybin",0.1,1000,1000,250,"02km",0.0125455959532255,0.96,0.0533070963217607,0.000669386284511303,0.0533562763384871,0.0547565344471667,500,0,"Benchmark"
"Ybin",0.1,1000,1000,250,"05km",0.0125455959532255,0.96,0.0533070963217607,0.000669386284511303,0.0533562763384871,0.0547565344471667,500,0,"Benchmark"
"Ybin",0.1,1000,1000,250,"10km",0.0125455959532255,0.96,0.0533070963217607,0.000669386284511303,0.0533562763384871,0.0547565344471667,500,0,"Benchmark"
"Ybin",0.15,1000,1000,250,"02km",0.0183938491837626,0.96,0.0555598964797038,0.00102281049469286,0.0556061150917644,0.05599641369693,500,0,"Benchmark"
"Ybin",0.15,1000,1000,250,"05km",0.0183938491837626,0.96,0.0555598964797038,0.00102281049469286,0.0556061150917644,0.05599641369693,500,0,"Benchmark"
"Ybin",0.15,1000,1000,250,"10km",0.0183938491837626,0.96,0.0555598964797038,0.00102281049469286,0.0556061150917644,0.05599641369693,500,0,"Benchmark"
"Ybin",0.2,1000,1000,250,"02km",0.0307583297548053,0.946,0.0601384457906075,0.00185073367105077,0.0601701615726269,0.0568784366483128,500,0,"Benchmark"
"Ybin",0.2,1000,1000,250,"05km",0.0307583297548053,0.946,0.0601384457906075,0.00185073367105077,0.0601701615726269,0.0568784366483128,500,0,"Benchmark"
"Ybin",0.2,1000,1000,250,"10km",0.0307583297548053,0.946,0.0601384457906075,0.00185073367105077,0.0601701615726269,0.0568784366483128,500,0,"Benchmark"
"Ybin",0,1000,1000,500,"02km",-0.00500831198871943,0.924,0.0377217541720378,-0.000189109143357379,0.0377590580984817,0.0358859884097013,500,0,"Benchmark"
"Ybin",0,1000,1000,500,"05km",-0.00500831198871943,0.924,0.0377217541720378,-0.000189109143357379,0.0377590580984817,0.0358859884097013,500,0,"Benchmark"
"Ybin",0,1000,1000,500,"10km",-0.00500831198871943,0.924,0.0377217541720378,-0.000189109143357379,0.0377590580984817,0.0358859884097013,500,0,"Benchmark"
"Ybin",0.05,1000,1000,500,"02km",-0.00634345108697776,0.926,0.0403645150253677,-0.000256301594766881,0.0404041256490545,0.0374336791133099,500,0,"Benchmark"
"Ybin",0.05,1000,1000,500,"05km",-0.00634345108697776,0.926,0.0403645150253677,-0.000256301594766881,0.0404041256490545,0.0374336791133099,500,0,"Benchmark"
"Ybin",0.05,1000,1000,500,"10km",-0.00634345108697776,0.926,0.0403645150253677,-0.000256301594766881,0.0404041256490545,0.0374336791133099,500,0,"Benchmark"
"Ybin",0.1,1000,1000,500,"02km",-0.0129409362172286,0.946,0.040227952007874,-0.000521065014213213,0.0402648622531272,0.0386398085193615,500,0,"Benchmark"
"Ybin",0.1,1000,1000,500,"05km",-0.0129409362172286,0.946,0.040227952007874,-0.000521065014213213,0.0402648622531272,0.0386398085193615,500,0,"Benchmark"
"Ybin",0.1,1000,1000,500,"10km",-0.0129409362172286,0.946,0.040227952007874,-0.000521065014213213,0.0402648622531272,0.0386398085193615,500,0,"Benchmark"
"Ybin",0.15,1000,1000,500,"02km",-0.0149267898526428,0.954,0.0390061315318492,-0.000582754391530921,0.0390408384712233,0.0395091341501324,500,0,"Benchmark"
