"S_o","Y","ks_stat","ks_pval","n_exp","n_obs"
"0 - 2km",0,0.080002169844585,0.203911854149031,805,229
"0 - 2km",1,0.0904012767897857,0.894329028860272,204,43
"0 - 5km",0,0.0973164656100776,0.00357381913240657,805,571
"0 - 5km",1,0.114100959532749,0.371969242961248,204,94
"0 - 10km",0,0.0991004861382066,0.000166625827336009,805,1178
"0 - 10km",1,0.102495543672014,0.216085842915554,204,220
