"outcome","Y","ks_stat","ks_pval","n_exp","n_obs"
"Ycons",0,0.0100858447399725,0.997032928363199,2759,3725
"Ycons",1,0.0476873599429937,0.129749592407019,1022,1461
"Ylowinc",0,0.0141188285418154,0.817903687155334,3496,4727
"Ylowinc",1,0.0447196422428618,0.873438251438192,285,459
"Ymidinc",0,0.0159982043898381,0.797505774965953,2841,3839
"Ymidinc",1,0.0201780157639517,0.977832665701767,940,1347
