"sample","Y_var","efficient","simple"
"full","Ycons",0.105588329212196,0.376631020166785
"full","Ycons",0.43068060834737,0.633362414117117
"full","Ycons",0.369903576807459,0.61357734145353
"full","Ycons",0.176446634343709,0.512047911441763
"full","Ycons",0.0520036567506126,0.329410164112701
"full","Ycons",-0.0838840452517257,0.178516203255695
"full","Ycons",-0.0111239793575997,0.270504862925598
"full","Ycons",0.438532973436649,0.594763282826747
"full","Ycons",-0.0946478743940251,0.203574945940573
"full","Ycons",0.863979485101353,0.647482255820373
"full","Ycons",0.692900614102224,0.496880779603348
"full","Ycons",1.44550592928034,0.721278833226254
"full","Ycons",-0.0859058710870821,0.252498819621867
"full","Ycons",0.0443927595800263,0.296941721295653
"full","Ycons",-0.10344972821035,0.197969901391576
"full","Ycons",-0.102063187402683,0.182478109636174
"full","Ycons",0.0357001333005581,0.301777600622511
"full","Ycons",0.476786840293029,0.59541942963361
"full","Ycons",-0.078443201094085,0.246435081959114
"full","Ycons",-0.0674021218368306,0.258417739920494
"full","Ycons",0.999814418715852,0.748507067542096
"full","Ycons",-0.161736463877735,0.133898603101604
"full","Ycons",-0.208415688112907,0.198924107071199
"full","Ycons",1.23847882049049,0.694443623702098
"full","Ycons",1.10825616299748,0.682823408053787
"full","Ycons",-0.256752599477588,0.176143060686673
"full","Ycons",-0.102999520166253,0.240182059471102
"full","Ycons",-0.322713395216831,0.174305983013328
"full","Ycons",-0.37781893134221,0.158584266859487
"full","Ycons",0.680776292146544,0.648804808888959
"full","Ycons",-0.124118871978362,0.167866489524358
"full","Ycons",-0.170670215280844,0.220361514034532
"full","Ycons",-0.226145659584572,0.188429315585792
"full","Ycons",-0.0804433686371059,0.231402537510831
"full","Ycons",-0.180610452765638,0.153084532004497
"full","Ycons",-0.155723773686598,0.118050248092008
"full","Ycons",-0.0631419822711988,0.236514755631474
"full","Ycons",-0.146369768944741,0.161318609087687
"full","Ycons",0.00411697868991919,0.286065869834052
"full","Ycons",0.0655523350651233,0.344755600785563
"full","Ycons",0.0680415356936541,0.349908922330327
"full","Ycons",-0.208570602042434,0.122727927444802
"full","Ycons",-0.28126324417088,0.0584495484736432
"full","Ycons",-0.16891419914428,0.150141857381477
"full","Ycons",-0.188962985224833,0.0592364045131761
"full","Ycons",0.503498850599754,0.659087810230451
"full","Ycons",-0.0627947963450693,0.205007376210536
"full","Ycons",-0.119369321812732,0.180448279940252
"full","Ycons",-0.0360108122141813,0.251743419290965
"full","Ycons",0.273000725288415,0.561762317336333
"full","Ycons",-0.132666251698817,0.123636244876908
"full","Ycons",0.0505992142151404,0.330742471515573
"full","Ycons",0.071758928189615,0.355370012904694
"full","Ycons",-0.124235800645465,0.162700415162223
"full","Ycons",0.158873120777047,0.482551067729081
"full","Ycons",0.673244718756415,0.485847469560956
"full","Ycons",0.051799351039156,0.343704301615018
"full","Ycons",-0.105628398224713,0.231194131798075
"full","Ycons",-0.220430700937173,0.0941694540189433
"full","Ycons",0.846371370121929,0.777682865246045
"full","Ycons",1.698634508091,0.786432682312894
"full","Ycons",0.840542211573741,0.767498903400711
"full","Ycons",2.16131837324077,0.916701718878566
