"Y_var","rsv_coef","rsv_se","denom_coef","denom_se","simple_coef","simple_se","simple_denom_coef","simple_denom_se","bench_coef","bench_se","diff_coef","diff_se","B","sample","J","p_value"
"Ycons",-0.0524510377211146,0.0435648716056726,0.499961508905655,0.0601352988115837,-0.0493621075759358,0.0732742708157531,0.409603849514041,0.0272595819766048,-0.0746084493662126,0.0445044337297921,-0.022157411645098,0.0271274990704016,1000,"full",0.026720102111829,0.870154024030044
"Ylowinc",-0.0260760929190589,0.0219706249385569,1.01015946743932,0.115573093918525,-0.0241953398443918,0.0340717131553842,0.332652171087569,0.0224008377868442,-0.0234859433491114,0.0147768105813962,0.00259014956994751,0.0141559882980326,1000,"full",0.0600260727579633,0.806454736203976
"Ymidinc",-0.044984340239812,0.0360408687048142,0.452985728438832,0.04929402777914,-0.0430593993518853,0.0542399799733531,0.356029851482927,0.0152287292997266,-0.0397284529391391,0.0274064312969592,0.00525588730067286,0.0245859009837936,1000,"full",0.0095230192384834,0.922261075012471
"Ycons",-0.0261261492197756,0.0608545145077509,0.234897511037565,0.0810461977171069,-0.025171380107686,0.0818668082362973,0.411858992395732,0.0291576269973468,-0.179283683124465,0.0480412505077994,-0.15315753390469,0.0571120517416454,1000,"nospillover",0.000505888718564672,0.982055517320504
"Ylowinc",-0.0274107848979922,0.0318351379785753,0.506776952384992,0.171546534851112,-0.050879889060643,0.0318935931841845,0.331830299068675,0.0233167653086366,-0.0500512733403795,0.0180008176481262,-0.0226404884423873,0.0281963730553269,1000,"nospillover",2.18693260180288,0.139186258891076
"Ymidinc",-0.0523272924372471,0.0489077124968573,0.214527002202373,0.0707637580121478,-0.108263407564597,0.0502125828612496,0.357561461847343,0.0164842338631823,-0.0268398636066234,0.0435673143912191,0.0254874288306236,0.0563151332256429,1000,"nospillover",1.97293409167382,0.160136768804639
