"outcome","Y","ks_stat","ks_pval","n_d1","n_d0"
"Ycons",0,0.041171881239212,0.0480408390896608,1829,2759
"Ycons",1,0.0812572835814331,0.0333485797678486,445,1022
"Ylowinc",0,0.0310957022709239,0.151635753920608,2156,3496
"Ylowinc",1,0.117127564674398,0.202392200876161,118,285
"Ymidinc",0,0.0306568688968163,0.251745602410273,1799,2841
"Ymidinc",1,0.0661926091825305,0.125905613094887,475,940
