"sample_size","tau","theta","estimator","rmse","bias","Y"
1000,0,-0.0752657302974723,"rsv",0.0880723088544351,0.00402307804012254,"Ycons"
1000,0,-0.0752657302974723,"surrogate",0.0614771684017195,0.0597833640755091,"Ycons"
1000,0.1,0.0247342697025277,"rsv",0.0988089836817054,0.0164347311715377,"Ycons"
1000,0.1,0.0247342697025277,"surrogate",0.0253092981170992,-0.020544786719249,"Ycons"
1000,0.2,0.124734269702528,"rsv",0.11334078194072,0.0296500416572537,"Ycons"
1000,0.2,0.124734269702528,"surrogate",0.10173724164816,-0.100615245133772,"Ycons"
1000,0.3,0.224734269702528,"rsv",0.167637981162634,0.0476565018447832,"Ycons"
1000,0.3,0.224734269702528,"surrogate",0.181606749388343,-0.180903194315851,"Ycons"
1000,0.4,0.324734269702528,"rsv",0.177310184333168,0.0608506031115288,"Ycons"
1000,0.4,0.324734269702528,"surrogate",0.260598943093755,-0.260104134131633,"Ycons"
1000,0.5,0.424734269702528,"rsv",0.199973686597245,0.0779570031378596,"Ycons"
1000,0.5,0.424734269702528,"surrogate",0.340450995190243,-0.340043841328242,"Ycons"
2000,0,-0.0752657302974723,"rsv",0.0471809416019182,0.0035485745588964,"Ycons"
2000,0,-0.0752657302974723,"surrogate",0.059110318975655,0.0581335455691613,"Ycons"
2000,0.1,0.0249825196444525,"rsv",0.0547124477222632,0.00817167922862552,"Ycons"
2000,0.1,0.0249825196444525,"surrogate",0.0220846322240782,-0.0189848743351038,"Ycons"
2000,0.2,0.124982519644453,"rsv",0.0628820091755509,0.00942003367779923,"Ycons"
2000,0.2,0.124982519644453,"surrogate",0.0972141414788754,-0.0965464445321671,"Ycons"
2000,0.3,0.224982519644452,"rsv",0.0689583469066526,0.0117226677828235,"Ycons"
2000,0.3,0.224982519644452,"surrogate",0.174518225158657,-0.174144004500593,"Ycons"
2000,0.4,0.324982519644452,"rsv",0.0811347521719687,0.0204668709237909,"Ycons"
2000,0.4,0.324982519644452,"surrogate",0.251843792911268,-0.25159096011264,"Ycons"
2000,0.5,0.424982519644452,"rsv",0.0924636517926697,0.0208484370643861,"Ycons"
2000,0.5,0.424982519644452,"surrogate",0.329676893230642,-0.329462378218674,"Ycons"
3000,0,-0.0752657302974723,"rsv",0.0343068108225459,-0.000366820774266766,"Ycons"
3000,0,-0.0752657302974723,"surrogate",0.0562726194701249,0.0555703851665894,"Ycons"
3000,0.1,0.0247342697025277,"rsv",0.0400796300587856,0.00146952861535397,"Ycons"
3000,0.1,0.0247342697025277,"surrogate",0.0207912333209001,-0.0187282526591163,"Ycons"
3000,0.2,0.124982519644453,"rsv",0.0447854982110269,0.00773784824658991,"Ycons"
3000,0.2,0.124982519644453,"surrogate",0.0928220179701697,-0.0924023667264613,"Ycons"
3000,0.3,0.224982519644452,"rsv",0.0519837335887468,0.0098420598385372,"Ycons"
3000,0.3,0.224982519644452,"surrogate",0.167122979295842,-0.166864128714548,"Ycons"
3000,0.4,0.324982519644452,"rsv",0.0613552203973114,0.00842108446858736,"Ycons"
3000,0.4,0.324982519644452,"surrogate",0.242171313913368,-0.241983012630065,"Ycons"
3000,0.5,0.424982519644452,"rsv",0.0676138793110685,0.00987753095229965,"Ycons"
3000,0.5,0.424982519644452,"surrogate",0.316483286608267,-0.316325359229116,"Ycons"
