"shrid2","lat","lon","Ycons","Ylowinc","Ymidinc","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04306-569010",19.575,78.675,1,0,0,"Holdout",NA,-22.9982800398146,-0.471645725858806
"11-28-532-04306-569011",19.605,78.715,1,1,1,"Holdout",NA,-23.1230355906993,-0.474204196416172
"11-28-532-04306-569012",19.585,78.735,1,0,1,"Holdout",NA,3.85868602113546,0.0791334293759795
"11-28-532-04306-569013",19.575,78.775,1,0,1,"Holdout",NA,-33.3427022319645,-0.68378778626333
"11-28-532-04306-569014",19.565,78.735,0,1,1,"Holdout",NA,-34.262748113644,-0.702655967141939
"11-28-532-04306-569015",19.575,78.705,1,1,1,"Holdout",NA,1.15190682391521,0.0236231548249112
"11-28-532-04306-569016",19.545,78.715,1,1,1,"Holdout",NA,-34.9608797111292,-0.716973158839353
"11-28-532-04306-802896",19.675,78.535,0,NA,NA,"Holdout",NA,297.650735473725,6.10418244068153
"11-28-532-04307-569019",19.765,78.505,0,0,0,"Holdout",NA,-5.92196287414115,-0.121446841826773
"11-28-532-04307-569020",19.775,78.515,0,0,0,"Holdout",NA,-61.9699782295735,-1.27087222665966
"11-28-532-04307-569022",19.805,78.515,1,1,1,"Holdout",NA,-50.8596220243115,-1.04302249146603
"11-28-532-04307-569023",19.805,78.535,0,0,1,"Holdout",NA,-73.528193774261,-1.5079066027421
"11-28-532-04307-569024",19.815,78.545,0,0,1,"Holdout",NA,-66.9932389727586,-1.37388860246237
"11-28-532-04307-569025",19.785,78.545,0,0,0,"Holdout",NA,-33.9338146014856,-0.695910241599303
"11-28-532-04307-569026",19.755,78.535,1,1,1,"Holdout",NA,-64.0781923217413,-1.31410720614703
"11-28-532-04307-569028",19.735,78.535,0,0,0,"Holdout",NA,-6.85329760556582,-0.1405465329628
"11-28-532-04307-569029",19.745,78.555,1,1,1,"Holdout",NA,-47.62669943287,-0.976722136846207
"11-28-532-04307-569030",19.755,78.555,1,1,1,"Holdout",NA,-57.8243291470443,-1.18585379626833
"11-28-532-04307-569031",19.775,78.565,0,0,0,"Holdout",NA,-20.2758075194553,-0.415813614684729
"11-28-532-04307-569033",19.795,78.565,0,0,0,"Holdout",NA,-41.9491789642724,-0.860288287973412
"11-28-532-04307-569034",19.815,78.555,1,1,1,"Holdout",NA,-66.3478673219118,-1.36065340486562
"11-28-532-04307-569035",19.805,78.575,0,0,1,"Holdout",NA,-27.1839310494862,-0.557484510551861
"11-28-532-04307-569036",19.805,78.595,0,0,0,"Holdout",NA,14.2557919169836,0.2923559203009
"11-28-532-04307-569038",19.775,78.595,0,0,0,"Holdout",NA,-48.2284289203769,-0.989062326652335
"11-28-532-04307-569040",19.765,78.585,1,1,1,"Holdout",NA,3.56278325613664,0.073065094085693
"11-28-532-04307-569041",19.755,78.575,0,1,1,"Holdout",NA,-23.1572692700045,-0.474906256243984
"11-28-532-04307-569042",19.745,78.575,0,0,0,"Holdout",NA,-27.220021889019,-0.558224656779266
