shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-532-04305-568945,1,0,1,Holdout,NA,-54.63443942047344,-1.1212346928839105
11-28-532-04305-568946,1,1,1,Holdout,NA,52.23508848437794,1.0719940392139893
11-28-532-04305-568947,1,0,0,Holdout,NA,12.990946676977092,0.26660656285920037
11-28-532-04305-568948,1,0,0,Holdout,NA,35.91315727297567,0.7370273822259977
11-28-532-04305-568949,1,0,0,Holdout,NA,-15.323572747897993,-0.3144778562042909
11-28-532-04305-568950,0,0,0,Holdout,NA,27.446171353208385,0.5632637551419954
11-28-532-04305-568951,0,0,0,Holdout,NA,40.31547903363525,0.8273739830083532
11-28-532-04305-568952,1,0,0,Holdout,NA,-8.11100574690698,-0.1664580278315245
11-28-532-04305-568953,0,0,1,Holdout,NA,-9.459767275948252,-0.1941379717429014
11-28-532-04305-568954,1,0,0,Holdout,NA,41.95092572420982,0.8609374200507258
11-28-532-04305-568955,0,1,1,Holdout,NA,32.51996104571473,0.6673905493029523
11-28-532-04305-568956,1,0,0,Holdout,NA,20.663888557289223,0.42407442972018905
11-28-532-04305-568957,0,0,0,Holdout,NA,-15.172182252604175,-0.3113709463998371
11-28-532-04305-568958,0,0,0,Holdout,NA,1.9079830404456348,0.03915656133885523
11-28-532-04305-568959,0,0,0,Holdout,NA,-0.44029460969626244,-0.009035941371739683
11-28-532-04305-568960,0,0,1,Holdout,NA,-35.58058594031137,-0.7302021906435974
11-28-532-04305-568961,0,0,0,Holdout,NA,-28.512666519663423,-0.5851508906760401
11-28-532-04305-568962,1,0,0,Holdout,NA,27.67269582816051,0.5679126012324426
11-28-532-04305-568963,0,0,1,Holdout,NA,-42.33423168430041,-0.8688038124764851
11-28-532-04305-568964,0,0,1,Holdout,NA,-14.528848802665493,-0.29816814262230557
11-28-532-04305-568965,1,0,0,Holdout,NA,45.92035123304932,0.9423999121809443
11-28-532-04305-568966,0,0,0,Holdout,NA,22.39968643182725,0.4596973228515289
11-28-532-04305-568967,0,0,0,Holdout,NA,19.755312084907597,0.40542817887954063
11-28-532-04305-568968,1,0,0,Holdout,NA,12.970886182877122,0.2661948715857131
11-28-532-04305-568969,1,0,1,Holdout,NA,-10.859615897323602,-0.2228663499548976
11-28-532-04305-568970,0,0,1,Holdout,NA,36.040399473021665,0.7396387089020611
11-28-532-04305-568971,0,0,0,Holdout,NA,35.12136089137444,0.7207777495370136
11-28-532-04305-568972,0,0,0,Holdout,NA,20.019196902246787,0.4108437521930861
11-28-532-04305-568973,0,1,1,Holdout,NA,11.013320656236274,0.22602075420947113
11-28-532-04305-568974,1,1,1,Holdout,NA,-10.115146129392516,-0.20758797718377026
11-28-532-04305-568975,0,0,0,Holdout,NA,49.18767926441892,1.0094536164133494
11-28-532-04306-568976,0,0,0,Holdout,NA,8.068450591290445,0.16558469011003382
11-28-532-04306-568979,0,0,0,Holdout,NA,1.8344526124883478,0.03764753392532573
11-28-532-04306-568981,0,0,0,Holdout,NA,-20.550221432230792,-0.42174169737393086
11-28-532-04306-568982,0,0,0,Holdout,NA,2.112468158240648,0.04335310496009908
11-28-532-04306-568983,0,0,0,Holdout,NA,26.88648941226029,0.5517776885541785
11-28-532-04306-568985,0,0,0,Holdout,NA,0.8621793884218538,0.01769406718623207
11-28-532-04306-568987,0,0,0,Holdout,NA,-22.02477763816534,-0.4520032611831044
11-28-532-04306-568989,0,0,1,Holdout,NA,48.512505724593666,0.9955973747350351
11-28-532-04306-568990,0,0,0,Holdout,NA,67.83601796057414,1.3921639458789674
11-28-532-04306-568991,0,1,1,Holdout,NA,22.23281746201362,0.4562727562209299
11-28-532-04306-568992,0,0,1,Holdout,NA,-2.8388242016039036,-0.05825973901443598
11-28-532-04306-568993,0,0,1,Holdout,NA,-23.842651280683683,-0.48931055337629564
11-28-532-04306-568994,0,0,0,Holdout,NA,44.24533065169942,0.9080243203925843
