"sample_size","tau","theta_wrong","theta","estimator","rmse","bias","Y"
1000,0,0.07,-0.0747884015083538,"rsv",0.0805013811581184,0.00155515363987016,"Ycons"
1000,0,0.07,-0.0747884015083538,"surrogate",0.05976159037638,0.0579759769000208,"Ycons"
1000,0.1,0.17,0.0252115984916462,"rsv",0.132642066098546,0.00416571805658152,"Ycons"
1000,0.1,0.17,0.0252115984916462,"surrogate",0.0255963940545316,-0.0209614978040076,"Ycons"
1000,0.2,0.27,0.125211598491646,"rsv",0.115827284734505,0.0186144422578487,"Ycons"
1000,0.2,0.27,0.125211598491646,"surrogate",0.101272343486504,-0.100103691371224,"Ycons"
1000,0.3,0.37,0.225211598491646,"rsv",0.221522730477879,0.0328246450236989,"Ycons"
1000,0.3,0.37,0.225211598491646,"surrogate",0.179912778214007,-0.179218149342498,"Ycons"
1000,0.4,0.47,0.325211598491646,"rsv",0.149622696746995,0.0368939564007065,"Ycons"
1000,0.4,0.47,0.325211598491646,"surrogate",0.258982795433691,-0.258506875217416,"Ycons"
1000,0.5,0.57,0.425211598491646,"rsv",0.300675880092779,0.0387785558402947,"Ycons"
1000,0.5,0.57,0.425211598491646,"surrogate",0.337695501130532,-0.337278965394334,"Ycons"
2000,0,0.07,-0.0747884015083538,"rsv",0.0444347683148566,0.00210600368965924,"Ycons"
2000,0,0.07,-0.0747884015083538,"surrogate",0.057672888495658,0.0566779303253543,"Ycons"
2000,0.1,0.17,0.0252115984916462,"rsv",0.0504107217784496,0.0049966707155217,"Ycons"
2000,0.1,0.17,0.0252115984916462,"surrogate",0.0223454695624146,-0.0193910509097253,"Ycons"
2000,0.2,0.27,0.125211598491646,"rsv",0.057828375427995,0.00848307254924641,"Ycons"
2000,0.2,0.27,0.125211598491646,"surrogate",0.0962146117517556,-0.0955381966463769,"Ycons"
2000,0.3,0.37,0.225211598491646,"rsv",0.0654669183002302,0.0123067609752548,"Ycons"
2000,0.3,0.37,0.225211598491646,"surrogate",0.171447070755589,-0.171050585929083,"Ycons"
2000,0.4,0.47,0.325211598491646,"rsv",0.0686083253476918,0.00943424491312522,"Ycons"
2000,0.4,0.47,0.325211598491646,"surrogate",0.247122181171782,-0.246849416471082,"Ycons"
2000,0.5,0.57,0.425211598491646,"rsv",0.0768749802034576,0.0139493592320007,"Ycons"
2000,0.5,0.57,0.425211598491646,"surrogate",0.322862645145665,-0.322649286456354,"Ycons"
3000,0,0.07,-0.0747884015083538,"rsv",0.032094894891374,0.000496901265003513,"Ycons"
3000,0,0.07,-0.0747884015083538,"surrogate",0.0546340252274901,0.05393262362518,"Ycons"
3000,0.1,0.17,0.0252115984916462,"rsv",0.0365497678557509,0.00266926618855315,"Ycons"
3000,0.1,0.17,0.0252115984916462,"surrogate",0.0209072036858351,-0.0189197966413697,"Ycons"
3000,0.2,0.27,0.125211598491646,"rsv",0.0423798250214232,0.00457564572707778,"Ycons"
3000,0.2,0.27,0.125211598491646,"surrogate",0.0922578981992773,-0.0917827698511106,"Ycons"
3000,0.3,0.37,0.225211598491646,"rsv",0.0488366149698498,0.00708087804720997,"Ycons"
3000,0.3,0.37,0.225211598491646,"surrogate",0.164802824095568,-0.164539281864053,"Ycons"
3000,0.4,0.47,0.325211598491646,"rsv",0.0587819096786531,0.00736537198002091,"Ycons"
3000,0.4,0.47,0.325211598491646,"surrogate",0.238001033109807,-0.23780508051822,"Ycons"
3000,0.5,0.57,0.425211598491646,"rsv",0.0655052792116255,0.00844362385852343,"Ycons"
3000,0.5,0.57,0.425211598491646,"surrogate",0.310955341503402,-0.310790929069247,"Ycons"
