"estimator","S","Y","coef","lci","uci","denominator_coef","denominator_lci","denominator_uci"
"benchmark",NA,"cons",-0.077957590272009,-0.153470384033319,-0.00244479651069879,NA,NA,NA
"benchmark",NA,"05k",-0.0326452014471517,-0.0603236656845263,-0.00496673720977711,NA,NA,NA
"benchmark",NA,"10k",-0.048366275515976,-0.0968416446097339,0.00010909357778191,NA,NA,NA
"rsv","real","cons",-0.0340332829470398,-0.0682238847686782,0.000157318874598474,0.747109302319746,0.636096152712552,0.858122451926941
"rsv","synthetic","cons",-0.0655307218183033,-0.119014749373377,-0.0120466942632293,0.718929179277344,0.628818841784945,0.809039516769744
"rsv","real","05k",-0.00791034426203988,-0.0250973329323227,0.00927664440824293,1.78505921726687,1.44078486639263,2.12933356814111
"rsv","synthetic","05k",-0.0231615431928849,-0.0441611170944737,-0.00216196929129614,1.79706952643601,1.50391873609836,2.09022031677365
"rsv","real","10k",-0.0235963048026125,-0.0479888560153461,0.000796246410121146,0.754171766819269,0.645294837837283,0.863048695801255
"rsv","synthetic","10k",-0.0335413879522319,-0.0720809698481913,0.00499819394372746,0.752915071094459,0.664986079538751,0.840844062650167
