"shrid2","y_05k_raw","y_10k_raw","y_cons_raw","lat","lon","d_name","sd_name","clusters","wave","tot_p","tot_m","tot_f","urban","y_05k","y_10k","y_cons","D"
"11-28-532-04306-568979",0.210884348,0.081632651,103430.796875,19.705,78.495,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",300,0.806666667,0.193333333,0,0,0,0,NA
"11-28-532-04306-568981",0.581683159,0.066831686,37658.5703125,19.695,78.495,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1032,0.528100775,0.471899225,0,0,0,0,NA
"11-28-532-04306-568982",0.307317078,0.104878046,21175.814453125,19.705,78.525,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1847,0.502436383,0.497563617,0,0,0,0,NA
"11-28-532-04306-568983",0.317032039,0.097807758,23001.51953125,19.725,78.545,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",2495,0.513827655,0.486172345,0,0,0,0,NA
"11-28-532-04306-568985",0.402816892,0.025352113,21543.005859375,19.705,78.565,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1649,0.490600364,0.509399636,0,0,0,0,NA
"11-28-532-04306-568986",0,0,13898.611328125,19.695,78.565,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",50,0.92,0.08,0,1,1,1,NA
"11-28-532-04306-568987",0.628571451,0.005714286,21867.58203125,19.695,78.585,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",859,0.502910361,0.497089639,0,0,0,0,NA
"11-28-532-04306-568988",0,0,16064.23828125,19.685,78.595,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",27,0.555555556,0.444444444,0,1,1,1,NA
"11-28-532-04306-568989",0.024193548,0,19579.673828125,19.675,78.615,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",521,0.495201536,0.504798464,0,0,1,0,NA
"11-28-532-04306-568990",0.117346942,0.017857144,19351.080078125,19.655,78.635,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1583,0.516108654,0.483891346,0,0,0,0,NA
"11-28-532-04306-568991",0,0,24478.20703125,19.635,78.635,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",239,0.527196653,0.472803347,0,1,1,0,NA
"11-28-532-04306-568992",0.002484472,0,20617.69921875,19.655,78.605,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",3177,0.488511174,0.511488826,0,0,1,0,NA
"11-28-532-04306-568993",0.108153075,0,21592.677734375,19.675,78.565,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1827,0.517241379,0.482758621,0,0,1,0,NA
"11-28-532-04306-568994",0.151026398,0.057917889,26131.853515625,19.675,78.505,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",5047,0.511392907,0.488607093,0,0,0,0,NA
"11-28-532-04306-568995",0.029028436,0.01007109,19892.98046875,19.635,78.505,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",7323,0.500068278,0.499931722,0,0,0,0,NA
"11-28-532-04306-568996",0.012195121,0.00406504,18345.552734375,19.645,78.575,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1112,0.508992806,0.491007194,0,0,0,1,NA
"11-28-532-04306-568997",0.029147983,0.002242153,18038.021484375,19.635,78.545,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1821,0.501922021,0.498077979,0,0,0,1,NA
"11-28-532-04306-568998",0.75,0.03125,25352.46875,19.615,78.585,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",133,0.421052632,0.578947368,0,0,0,0,NA
"11-28-532-04306-568999",0.645833313,0.010416667,22154.765625,19.635,78.595,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",406,0.519704433,0.480295567,0,0,0,0,NA
"11-28-532-04306-569000",0,0,18100.4765625,19.605,78.605,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",857,0.522753792,0.477246208,0,1,1,1,NA
"11-28-532-04306-569001",0.225165561,0.008278145,21768.34375,19.605,78.565,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",2415,0.500621118,0.499378882,0,0,0,0,NA
"11-28-532-04306-569002",0.69005847,0.108187132,25212.802734375,19.565,78.445,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1409,0.498225692,0.501774308,0,0,0,0,NA
"11-28-532-04306-569003",0.132075474,0.018867925,16115.19921875,19.585,78.525,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",265,0.498113208,0.501886792,0,0,0,1,NA
