"shrid2","y_05k_raw","y_10k_raw","y_cons_raw","lat","lon","d_name","sd_name","clusters","wave","tot_p","tot_m","tot_f","urban","y_05k","y_10k","y_cons","D"
"11-28-539-04619-576575",0.103603601,0.018018018,19675.16015625,17.435,79.435,"Nalgonda","Thirumalgiri","THIRUMALGIRI NALGONDA","Holdout",2864,0.504888268,0.495111732,0,0,0,0,NA
"11-28-539-04619-576576",0.03861386,0.010891089,20758.041015625,17.425,79.465,"Nalgonda","Thirumalgiri","THIRUMALGIRI NALGONDA","Holdout",4120,0.498058252,0.501941748,0,0,0,0,NA
"11-28-539-04619-576578",0.18346253,0.031007752,21405.203125,17.445,79.485,"Nalgonda","Thirumalgiri","THIRUMALGIRI NALGONDA","Holdout",1623,0.511398644,0.488601356,0,0,0,0,NA
"11-28-539-04619-576579",0.338983059,0.016949153,27114.69140625,17.455,79.515,"Nalgonda","Thirumalgiri","THIRUMALGIRI NALGONDA","Holdout",2157,0.505795086,0.494204914,0,0,0,0,NA
"11-28-539-04619-576580",0.33488372,0.004651163,22303.443359375,17.485,79.525,"Nalgonda","Thirumalgiri","THIRUMALGIRI NALGONDA","Holdout",918,0.522875817,0.477124183,0,0,0,0,NA
"11-28-539-04619-576581",0.418539315,0.057584271,21727.9765625,17.495,79.545,"Nalgonda","Thirumalgiri","THIRUMALGIRI NALGONDA","Holdout",3096,0.510658915,0.489341085,0,0,0,0,NA
"11-28-539-04620-576582",0.217190385,0.025878003,22683.462890625,17.505,79.575,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",4021,0.503854762,0.496145238,0,0,0,0,0
"11-28-539-04620-576583",0.276532143,0.001494768,20269.736328125,17.485,79.615,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2653,0.514511873,0.485488127,0,0,0,0,0
"11-28-539-04620-576584",0.021739131,0,19189.875,17.475,79.645,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",1537,0.517241379,0.482758621,0,0,1,0,0
"11-28-539-04620-576585",0.192429021,0.066246055,20335.681640625,17.455,79.665,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2787,0.512737711,0.487262289,0,0,0,0,0
"11-28-539-04620-576586",0,0,79854.0703125,17.435,79.705,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",1,1,0,0,1,1,0,0
"11-28-539-04620-576587",0.054176074,0.018058691,18867.12890625,17.425,79.665,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",1834,0.494002181,0.505997819,0,0,0,1,0
"11-28-539-04620-576588",0.007692308,0,15455.3291015625,17.425,79.645,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",616,0.498376623,0.501623377,0,0,1,1,0
"11-28-539-04620-576589",0.03275862,0.003448276,18843.58203125,17.445,79.645,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2279,0.506801229,0.493198771,0,0,0,1,0
"11-28-539-04620-576590",0.069610387,0.02025974,20165.83984375,17.455,79.585,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",7792,0.508470226,0.491529774,0,0,0,0,0
"11-28-539-04620-576591",0.191489369,0.037993923,21514.349609375,17.455,79.535,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2822,0.515946137,0.484053863,0,0,0,0,0
"11-28-539-04620-576592",0.034883723,0.004651163,19159.3515625,17.435,79.515,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",1800,0.503333333,0.496666667,0,0,0,0,0
"11-28-539-04620-576593",0.041009463,0.006309148,19654.529296875,17.405,79.515,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",1267,0.516179953,0.483820047,0,0,0,0,0
"11-28-539-04620-576594",0.320754707,0.018867925,21160.76953125,17.405,79.535,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2581,0.502518404,0.497481596,0,0,0,0,0
"11-28-539-04620-576595",0.177848101,0.102531649,22489.34765625,17.425,79.565,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",6394,0.50046919,0.49953081,0,0,0,0,0
"11-28-539-04620-576596",0.107476637,0.025700934,19647.416015625,17.435,79.605,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",1780,0.506741573,0.493258427,0,0,0,0,0
"11-28-539-04620-576597",0.088520057,0.045643155,21931.908203125,17.415,79.615,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2896,0.514157459,0.485842541,0,0,0,0,0
"11-28-539-04620-576598",0.134871334,0.031055901,20364.71875,17.395,79.595,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",4557,0.520517885,0.479482115,0,0,0,0,0
"11-28-539-04620-576599",0.019607844,0.003921569,18475.55078125,17.375,79.545,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",4120,0.501213592,0.498786408,0,0,0,1,0
"11-28-539-04620-576600",0.391304344,0.156521738,22168.11328125,17.365,79.575,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",469,0.507462687,0.492537313,0,0,0,0,0
"11-28-539-04620-576601",0.11072056,0.012302285,17339.0078125,17.375,79.615,"Nalgonda","Thungathurthi","THUNGATHURTHI NALGONDA","Buffer",2425,0.498969072,0.501030928,0,0,0,1,0
"11-28-539-04621-576602",0.049085658,0.015399422,18240.7578125,17.405,79.645,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",4144,0.522442085,0.477557915,0,0,0,1,0
"11-28-539-04621-576603",0.176470593,0.013415893,22475.05859375,17.385,79.675,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",3958,0.504042446,0.495957554,0,0,0,0,0
"11-28-539-04621-576604",0.100563906,0.019736841,21273.357421875,17.415,79.705,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",4161,0.50949291,0.49050709,0,0,0,0,0
"11-28-539-04621-576605",0.127007306,0.011678832,22957.8046875,17.405,79.735,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",2707,0.497598818,0.502401182,0,0,0,0,0
"11-28-539-04621-576606",0.06377551,0.010204081,21904.88671875,17.415,79.755,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",1511,0.520847121,0.479152879,0,0,0,0,0
"11-28-539-04621-576607",0.061881188,0.012376238,21349.7421875,17.385,79.775,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",1682,0.49940547,0.50059453,0,0,0,0,0
"11-28-539-04621-576608",0.141242936,0.042372882,22638.486328125,17.375,79.745,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",2811,0.501956599,0.498043401,0,0,0,0,0
"11-28-539-04621-576609",0.114130437,0.007246377,22656.177734375,17.385,79.705,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",1985,0.516876574,0.483123426,0,0,0,0,0
"11-28-539-04621-576610",0.041984733,0.001272265,18341.486328125,17.375,79.715,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",3245,0.517719569,0.482280431,0,0,0,1,0
"11-28-539-04621-576611",0.084092505,0.022424666,18498.423828125,17.335,79.685,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",5763,0.506507028,0.493492972,0,0,0,1,0
"11-28-539-04621-576612",0.336696088,0.011349306,23022.19140625,17.365,79.655,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",3015,0.508457711,0.491542289,0,0,0,0,0
"11-28-539-04621-576613",0.053398058,0.004854369,19058.4296875,17.355,79.625,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",1662,0.523465704,0.476534296,0,0,0,0,0
"11-28-539-04621-576614",0.029411765,0.00286944,19420.404296875,17.325,79.625,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",5877,0.514378084,0.485621916,0,0,0,0,0
"11-28-539-04621-576615",0.392624736,0.052060738,19745.7578125,17.335,79.645,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",2131,0.497888315,0.502111685,0,0,0,0,0
"11-28-539-04621-576616",0.012658228,0,21200.4375,17.325,79.665,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",297,0.525252525,0.474747475,0,0,1,0,0
"11-28-539-04621-576618",0.028742515,0.00239521,19151.392578125,17.345,79.715,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",3549,0.526908988,0.473091012,0,0,0,0,0
"11-28-539-04621-576619",0.161157027,0.004132231,20497.095703125,17.355,79.735,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",1029,0.515063168,0.484936832,0,0,0,0,0
"11-28-539-04621-576620",0.214801446,0.025270758,21445.46875,17.345,79.765,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",2306,0.497398092,0.502601908,0,0,0,0,0
"11-28-539-04621-576621",0.078549847,0.01510574,19430.591796875,17.335,79.785,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",1328,0.521837349,0.478162651,0,0,0,0,0
"11-28-539-04621-576622",0.082474224,0.003436426,20082.1171875,17.315,79.755,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",2382,0.506297229,0.493702771,0,0,0,0,0
"11-28-539-04621-576623",0.010162601,0,18888.646484375,17.315,79.785,"Nalgonda","Nuthankal","NUTHANKAL NALGONDA","Buffer",2158,0.525486562,0.474513438,0,0,1,1,0
"11-28-539-04622-576624",0.242647052,0.024509804,23387.85546875,17.295,79.595,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",4643,0.509153565,0.490846435,0,0,0,0,0
"11-28-539-04622-576625",0.031496063,0.003937008,20463.02734375,17.285,79.625,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",2037,0.510554737,0.489445263,0,0,0,0,0
"11-28-539-04622-576626",0.060578663,0.00994575,21119.037109375,17.305,79.655,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",4485,0.523968785,0.476031215,0,0,0,0,0
"11-28-539-04622-576627",0.50505048,0.037878789,22792.189453125,17.285,79.675,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1577,0.509194673,0.490805327,0,0,0,0,0
"11-28-539-04622-576628",0.028138528,0.002164502,20273.11328125,17.295,79.685,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1862,0.50698174,0.49301826,0,0,0,0,0
"11-28-539-04622-576629",0.140993789,0.10310559,20801.19140625,17.285,79.725,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",6644,0.509783263,0.490216737,0,0,0,0,0
"11-28-539-04622-576631",0.24060151,0.022556391,23946.681640625,17.285,79.765,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1032,0.525193798,0.474806202,0,0,0,0,0
"11-28-539-04622-576632",0.158450708,0.014084507,24263.5078125,17.295,79.775,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1042,0.497120921,0.502879079,0,0,0,0,0
"11-28-539-04622-576633",0.061538462,0.003076923,18487.130859375,17.285,79.795,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1356,0.519911504,0.480088496,0,0,0,1,0
"11-28-539-04622-576634",0.053738318,0,20947.548828125,17.265,79.775,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1646,0.512758202,0.487241798,0,0,1,0,0
"11-28-539-04622-576635",0.760107815,0.013477089,26387.6015625,17.255,79.725,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1331,0.504883546,0.495116454,0,0,0,0,0
"11-28-539-04622-576636",0.06356968,0.009779952,19866.1015625,17.255,79.695,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1651,0.494851605,0.505148395,0,0,0,0,0
"11-28-539-04622-576637",0.122153208,0.026915114,20952.875,17.245,79.675,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",3812,0.511542497,0.488457503,0,0,0,0,0
"11-28-539-04622-576638",0.214810625,0.014132278,20685.109375,17.255,79.635,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",7241,0.507526585,0.492473415,0,0,0,0,0
"11-28-539-04622-576639",0.11061947,0.008849557,22670.26171875,17.225,79.645,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1811,0.514080618,0.485919382,0,0,0,0,0
"11-28-539-04622-576640",0,0,78519.5859375,17.215,79.675,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1,1,0,0,1,1,0,0
"11-28-539-04622-576641",0.957446814,0.939716339,27551.83984375,17.215,79.685,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1133,0.516328332,0.483671668,0,0,0,0,0
"11-28-539-04622-576642",0.170170173,0.014014014,22748.349609375,17.225,79.715,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",3949,0.505950874,0.494049126,0,0,0,0,0
"11-28-539-04622-576643",0.77352941,0.01764706,25941.740234375,17.235,79.745,"Nalgonda","Atmakur (S)","ATMAKUR (S) NALGONDA","Control",1158,0.487046632,0.512953368,0,0,0,0,0
"11-28-539-04623-576644",0.163454682,0.032119915,22137.53515625,17.385,79.455,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",5701,0.513944922,0.486055078,0,0,0,0,0
"11-28-539-04623-576645",0.079601988,0.006633499,19745.6328125,17.405,79.485,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",2494,0.506415397,0.493584603,0,0,0,0,0
"11-28-539-04623-576646",0.054435484,0.028225806,20464.36328125,17.385,79.495,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",2241,0.512271307,0.487728693,0,0,0,0,0
"11-28-539-04623-576647",0.091101699,0.033898305,23446.896484375,17.375,79.505,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",1804,0.516629712,0.483370288,0,0,0,0,0
"11-28-539-04623-576648",0.052173913,0.013043478,18840.33984375,17.365,79.525,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",1027,0.479065239,0.520934761,0,0,0,1,0
"11-28-539-04623-576649",0.160216019,0.0090009,20653.3828125,17.335,79.495,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",9055,0.50292656,0.49707344,0,0,0,0,0
"11-28-539-04623-576651",0.004854369,0.004854369,22068.794921875,17.285,79.505,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",847,0.495867769,0.504132231,0,0,0,0,0
"11-28-539-04623-576652",0.081967212,0.032786883,19370.224609375,17.295,79.525,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",1044,0.509578544,0.490421456,0,0,0,0,0
"11-28-539-04623-576653",0.018791946,0.001342282,20807.4296875,17.285,79.555,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",2959,0.514700912,0.485299088,0,0,0,0,0
"11-28-539-04623-576654",0.050228309,0,21364.66796875,17.305,79.545,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",1767,0.496321449,0.503678551,0,0,1,0,0
"11-28-539-04623-576655",0.055555556,0.013888889,22821.72265625,17.325,79.535,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",591,0.505922166,0.494077834,0,0,0,0,0
"11-28-539-04623-576656",0.061619718,0.008802817,22654.845703125,17.345,79.535,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",2233,0.500223914,0.499776086,0,0,0,0,0
"11-28-539-04623-576657",0.06779661,0.002991027,23844.56640625,17.335,79.565,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",3908,0.509467758,0.490532242,0,0,0,0,0
"11-28-539-04623-576658",0.09127517,0.017449664,21894.95703125,17.345,79.595,"Nalgonda","Jaji Reddi Gudem","JAJI REDDI GUDEM NALGONDA","Buffer",3035,0.525205931,0.474794069,0,0,0,0,0
"11-28-539-04624-576659",0.021951219,0.002439024,20471.74609375,17.345,79.315,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",1676,0.528042959,0.471957041,0,0,0,0,NA
"11-28-539-04624-576660",0.028688524,0,20823.578125,17.315,79.315,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",2125,0.519058824,0.480941176,0,0,1,0,NA
"11-28-539-04624-576661",0.132686079,0,21648.1015625,17.295,79.305,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",1304,0.523006135,0.476993865,0,0,1,0,NA
"11-28-539-04624-576662",0.04206099,0.004206099,20265.9609375,17.285,79.345,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",3742,0.498396579,0.501603421,0,0,0,0,NA
"11-28-539-04624-576663",0,0,19279.42578125,17.305,79.355,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",253,0.533596838,0.466403162,0,1,1,0,NA
"11-28-539-04624-576664",0.055201698,0.012738854,23932.76953125,17.325,79.335,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",1855,0.513207547,0.486792453,0,0,0,0,NA
"11-28-539-04624-576665",0.088772848,0.010443864,22214.080078125,17.345,79.345,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",1401,0.523197716,0.476802284,0,0,0,0,NA
"11-28-539-04624-576666",0.06329114,0,21111.83203125,17.335,79.365,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",2685,0.513221601,0.486778399,0,0,1,0,NA
"11-28-539-04624-576667",0.004807692,0,19734.095703125,17.335,79.395,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",937,0.525080043,0.474919957,0,0,1,0,NA
"11-28-539-04624-576668",0.111111112,0.012012012,25310.990234375,17.315,79.395,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",1313,0.502665651,0.497334349,0,0,0,0,NA
"11-28-539-04624-576669",0.042419482,0.00392773,20266.853515625,17.305,79.375,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",5405,0.513413506,0.486586494,0,0,0,0,NA
"11-28-539-04624-576670",0.239048809,0.021276595,22324.33203125,17.275,79.385,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",3087,0.522189828,0.477810172,0,0,0,0,NA
"11-28-539-04624-576671",0.087093391,0.006295908,22728.359375,17.245,79.375,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",3609,0.499030202,0.500969798,0,0,0,0,NA
"11-28-539-04624-576672",0.0405562,0.016222479,23551.904296875,17.255,79.425,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",3190,0.505956113,0.494043887,0,0,0,0,NA
"11-28-539-04624-576674",0.014492754,0.007905139,19260.6015625,17.285,79.415,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",3220,0.509627329,0.490372671,0,0,0,0,NA
"11-28-539-04624-576675",0.277304977,0.010638298,21719.134765625,17.325,79.435,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",5725,0.500611354,0.499388646,0,0,0,0,NA
"11-28-539-04624-576676",0.386740327,0.064917125,23831.333984375,17.315,79.465,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",2608,0.505368098,0.494631902,0,0,0,0,NA
"11-28-539-04624-576677",0.153522611,0.037854891,21388.732421875,17.295,79.445,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",3621,0.512289423,0.487710577,0,0,0,0,NA
"11-28-539-04624-576678",0.065771811,0.016107382,21019.697265625,17.285,79.475,"Nalgonda","Sali Gouraram","SALI GOURARAM NALGONDA","Holdout",2942,0.50917743,0.49082257,0,0,0,0,NA
"11-28-539-04625-576679",0.220400736,0.071341835,24151.98046875,17.455,79.265,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",13649,0.508608689,0.491391311,0,0,0,0,NA
"11-28-539-04625-576680",0.143678159,0.007662835,21298.400390625,17.445,79.305,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2159,0.493747105,0.506252895,0,0,0,0,NA
"11-28-539-04625-576681",0.1037037,0.014814815,20760.802734375,17.435,79.335,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1263,0.531274743,0.468725257,0,0,0,0,NA
"11-28-539-04625-576682",0.007352941,0.003676471,18950.115234375,17.455,79.355,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1165,0.510729614,0.489270386,0,0,0,1,NA
"11-28-539-04625-576683",0.034852546,0,19581.98046875,17.465,79.375,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1605,0.500311526,0.499688474,0,0,1,0,NA
"11-28-539-04625-576684",0.009375,0,21652.771484375,17.445,79.395,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1206,0.510779436,0.489220564,0,0,1,0,NA
"11-28-539-04625-576685",0.044615384,0.006153846,23026.458984375,17.415,79.405,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2367,0.506548373,0.493451627,0,0,0,0,NA
"11-28-539-04625-576686",0.07789474,0.014736842,21021.69140625,17.445,79.375,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1856,0.510237069,0.489762931,0,0,0,0,NA
"11-28-539-04625-576687",0.083810888,0.016475644,23772.044921875,17.405,79.365,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",5448,0.504772394,0.495227606,0,0,0,0,NA
"11-28-539-04625-576688",0.124069482,0.00248139,20840.806640625,17.405,79.335,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1708,0.511124122,0.488875878,0,0,0,0,NA
"11-28-539-04625-576689",0.180180177,0.009009009,21234.806640625,17.425,79.315,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1297,0.498843485,0.501156515,0,0,0,0,NA
"11-28-539-04625-576690",0.023136247,0,22230.6796875,17.415,79.275,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1514,0.497357992,0.502642008,0,0,1,0,NA
"11-28-539-04625-576691",0.024054984,0,24418.173828125,17.415,79.245,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1047,0.521489971,0.478510029,0,0,1,0,NA
"11-28-539-04625-576692",0.026041666,0,20230.6484375,17.435,79.225,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1678,0.505959476,0.494040524,0,0,1,0,NA
"11-28-539-04625-576693",0.073267326,0,23052.0625,17.395,79.205,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1916,0.503131524,0.496868476,0,0,1,0,NA
"11-28-539-04625-576694",0.165529013,0.018771332,21932.7734375,17.385,79.235,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2179,0.506195503,0.493804497,0,0,0,0,NA
"11-28-539-04625-576695",0.081128746,0,22502.7890625,17.375,79.275,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2327,0.516544908,0.483455092,0,0,1,0,NA
"11-28-539-04625-576696",0.025078369,0,20980.9921875,17.395,79.275,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1315,0.525475285,0.474524715,0,0,1,0,NA
"11-28-539-04625-576697",0.11992263,0.019342359,22785.1328125,17.395,79.295,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2129,0.511038046,0.488961954,0,0,0,0,NA
"11-28-539-04625-576698",0.038647342,0.006441224,22149.453125,17.375,79.325,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2334,0.518423308,0.481576692,0,0,0,0,NA
"11-28-539-04625-576699",0.123755336,0.044096727,25081.33203125,17.365,79.355,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",2798,0.508220157,0.491779843,0,0,0,0,NA
"11-28-539-04625-576700",0.181494668,0.015421115,23128.251953125,17.365,79.405,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",3280,0.52195122,0.47804878,0,0,0,0,NA
"11-28-539-04625-576701",0.06640625,0,18992.2109375,17.385,79.405,"Nalgonda","Mothkur","MOTHKUR NALGONDA","Holdout",1113,0.504941599,0.495058401,0,0,1,1,NA
"11-28-539-04626-576702",0.081846796,0.02098636,21913.498046875,17.495,79.075,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",8002,0.511247188,0.488752812,0,0,0,0,NA
"11-28-539-04626-576703",0.030303031,0,20513.546875,17.535,79.085,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",140,0.507142857,0.492857143,0,0,1,0,NA
"11-28-539-04626-576704",0.099678457,0.012861736,21797.6328125,17.535,79.105,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",1244,0.491157556,0.508842444,0,0,0,0,NA
"11-28-539-04626-576705",0.073770493,0.024590164,20629.87890625,17.535,79.125,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",578,0.510380623,0.489619377,0,0,0,0,NA
"11-28-539-04626-576706",0.100877196,0.004385965,21279.234375,17.525,79.115,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",1018,0.530451866,0.469548134,0,0,0,0,NA
"11-28-539-04626-576707",0.090909094,0.018181818,22822.541015625,17.495,79.115,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",228,0.535087719,0.464912281,0,0,0,0,NA
"11-28-539-04626-576708",0.020833334,0,19748.98046875,17.505,79.135,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",1468,0.522479564,0.477520436,0,0,1,0,NA
"11-28-539-04626-576709",0.156521738,0.026086956,23202.0234375,17.505,79.165,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",2348,0.500425894,0.499574106,0,0,0,0,NA
"11-28-539-04626-576710",0.090909094,0.003134796,22402.2890625,17.485,79.195,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",2704,0.518491124,0.481508876,0,0,0,0,NA
"11-28-539-04626-576711",0.236121386,0.031088082,23821.095703125,17.465,79.145,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",5531,0.517447116,0.482552884,0,0,0,0,NA
"11-28-539-04626-576712",0,0,22626.884765625,17.475,79.115,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",845,0.531360947,0.468639053,0,1,1,0,NA
"11-28-539-04626-576713",0.024691358,0,22138.759765625,17.455,79.095,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",1064,0.513157895,0.486842105,0,0,1,0,NA
"11-28-539-04626-576715",0.047169812,0,22712.482421875,17.445,79.175,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",1250,0.5312,0.4688,0,0,1,0,NA
"11-28-539-04626-576716",0.218453184,0.023066485,21807.560546875,17.425,79.145,"Nalgonda","Atmakur (M)","ATMAKUR (M) NALGONDA","Holdout",3102,0.504513217,0.495486783,0,0,0,0,NA
