"sample_size","tau","theta_wrong","theta","estimator","rmse","bias","Y"
1000,0,0.07,-0.074385408406027,"rsv",0.245119678931443,0.00795229348460415,"Ycons"
1000,0,0.07,-0.074385408406027,"surrogate",0.0652164474201069,0.0637171978024414,"Ycons"
1000,0.1,0.17,0.0256145915939731,"rsv",0.243720775314916,0.0366771778683053,"Ycons"
1000,0.1,0.17,0.0256145915939731,"surrogate",0.0253015025583311,-0.0209603558295353,"Ycons"
1000,0.2,0.27,0.125614591593973,"rsv",0.518581501783571,0.070797025917139,"Ycons"
1000,0.2,0.27,0.125614591593973,"surrogate",0.106894254450479,-0.105954268053172,"Ycons"
1000,0.3,0.37,0.225614591593973,"rsv",0.312745221253525,0.0385974466081432,"Ycons"
1000,0.3,0.37,0.225614591593973,"surrogate",0.191563915043998,-0.191034693627441,"Ycons"
1000,0.4,0.47,0.325614591593973,"rsv",0.530191160922884,0.101925446658073,"Ycons"
1000,0.4,0.47,0.325614591593973,"surrogate",0.276363187236604,-0.275955823098565,"Ycons"
1000,0.5,0.57,0.425614591593973,"rsv",0.292055843141388,0.0834907084075155,"Ycons"
1000,0.5,0.57,0.425614591593973,"surrogate",0.361339530032953,-0.361012422127929,"Ycons"
2000,0,0.07,-0.074385408406027,"rsv",0.0551059130404207,0.00410357323847896,"Ycons"
2000,0,0.07,-0.074385408406027,"surrogate",0.0621666407023352,0.0613880385730911,"Ycons"
2000,0.1,0.17,0.0256145915939731,"rsv",0.0614798598219576,0.00817712165667776,"Ycons"
2000,0.1,0.17,0.0256145915939731,"surrogate",0.0227910221032967,-0.0206123759230643,"Ycons"
2000,0.2,0.27,0.125614591593973,"rsv",0.0696335739452557,0.010616383870003,"Ycons"
2000,0.2,0.27,0.125614591593973,"surrogate",0.102968886695237,-0.102489471918539,"Ycons"
2000,0.3,0.37,0.225614591593973,"rsv",0.0768190078250994,0.01615303982993,"Ycons"
2000,0.3,0.37,0.225614591593973,"surrogate",0.18393769223777,-0.183668487682743,"Ycons"
2000,0.4,0.47,0.325614591593973,"rsv",0.0960841644925539,0.0246864268959653,"Ycons"
2000,0.4,0.47,0.325614591593973,"surrogate",0.265537797524949,-0.265335205597723,"Ycons"
2000,0.5,0.57,0.425614591593973,"rsv",0.106460136565657,0.0281828690401298,"Ycons"
2000,0.5,0.57,0.425614591593973,"surrogate",0.347122963290745,-0.346956404219003,"Ycons"
3000,0,0.07,-0.074385408406027,"rsv",0.0385530561036506,-0.00122964454574366,"Ycons"
3000,0,0.07,-0.074385408406027,"surrogate",0.0585287935408204,0.0579297847739211,"Ycons"
3000,0.1,0.17,0.0256145915939731,"rsv",0.045071038606166,0.00120145856508083,"Ycons"
3000,0.1,0.17,0.0256145915939731,"surrogate",0.0225954038695114,-0.0209645090014871,"Ycons"
3000,0.2,0.27,0.125614591593973,"rsv",0.0531061357951491,0.004493563220244,"Ycons"
3000,0.2,0.27,0.125614591593973,"surrogate",0.10019238411399,-0.0997949073211928,"Ycons"
3000,0.3,0.37,0.225614591593973,"rsv",0.0605973424417904,0.00851536268188419,"Ycons"
3000,0.3,0.37,0.225614591593973,"surrogate",0.178703221704926,-0.178465508712812,"Ycons"
3000,0.4,0.47,0.325614591593973,"rsv",0.0714150558930973,0.0128719594529575,"Ycons"
3000,0.4,0.47,0.325614591593973,"surrogate",0.257287843574406,-0.25711286531452,"Ycons"
3000,0.5,0.57,0.425614591593973,"rsv",0.0804684625613581,0.0148354136931169,"Ycons"
3000,0.5,0.57,0.425614591593973,"surrogate",0.336196044938512,-0.336051779826012,"Ycons"
