"S","Y","H"
"Ssynth",0.64,1.10485658848001
"Ssynth",0.82,1.47202018499823
"Ssynth",0.68,1.35732932483664
"Ssynth",0.76,1.2955083180052
"Ssynth",0.77,1.49560921258637
"Ssynth",0.07,-0.8689207660174
"Ssynth",0.3,-0.156780916130845
"Ssynth",0.83,1.6694987628024
"Ssynth",0.09,-0.95105419519581
"Ssynth",0.77,1.47697910938433
"Ssynth",0.23,-0.375279810561008
"Ssynth",0.78,1.40392808357307
"Ssynth",0.24,-0.341169828891092
"Ssynth",0.27,-0.249486694627159
"Ssynth",0.13,-0.846339797644206
"Ssynth",0.05,-1.09166866098956
"Ssynth",0.26,-0.280928853988856
"Ssynth",0.85,1.56639022143209
"Ssynth",0.27,-0.239338331240159
"Ssynth",0.14,-0.615782456711758
"Ssynth",0.93,1.74220577754578
"Ssynth",0.08,-0.886632663279656
"Ssynth",0.25,-0.300684087603072
"Ssynth",0.9,1.64131478667998
"Ssynth",0.78,1.2974355914694
"Ssynth",0.25,-0.316983012012246
"Ssynth",0.16,-0.566811976971955
"Ssynth",0.17,-0.554733669690517
"Ssynth",0.22,-0.406564105958212
"Ssynth",0.89,1.8349239905705
"Ssynth",0.13,-0.608673831856706
"Ssynth",0.17,-0.528635903602211
"Ssynth",0.17,-0.559368915410823
"Ssynth",0.34,-0.0276293540357795
"Ssynth",0.16,-0.658149601620318
"Ssynth",0.12,-0.689472383412424
"Ssynth",0.17,-0.622979803247236
"Ssynth",0.15,-0.793690415133006
"Ssynth",0.09,-0.76908341107089
"Ssynth",0.26,-0.268878148359105
"Ssynth",0.27,-0.262886362071695
"Ssynth",0.13,-0.879072183218076
"Ssynth",0.04,-1.12734944607163
"Ssynth",0.14,-0.610190049353009
"Ssynth",0.01,-0.919836277094298
"Ssynth",0.85,1.64754987060562
"Ssynth",0.79,0.991885083196595
"Ssynth",0.12,-0.809754706631863
"Ssynth",0.14,-0.807012176471769
"Ssynth",0.69,1.26964428996607
"Ssynth",0.08,-0.8706105284965
"Ssynth",0.13,-0.786278002130564
"Ssynth",0.7,1.33589950268554
"Ssynth",0.03,-1.28337573837137
"Ssynth",0.75,1.54226455413921
"Ssynth",0.36,0.0671395095112122
"Ssynth",0.18,-0.598871045095773
"Ssynth",0.21,-0.477685934261421
"Ssynth",0.1,-0.828190429262582
"Ssynth",0.94,2.26406508214497
"Ssynth",0.77,1.86131010956501
"Ssynth",0.81,1.88202883661857
"Ssynth",0.96,2.48603693766953
"Ssynth",0.31,-0.128929937477024
"Ssynth",0.82,1.95175921704773
"Ssynth",0.91,2.61013739559473
"Ssynth",0.31,-0.122761440231455
"Ssynth",0.18,-0.581981478010215
"Ssynth",0.81,1.48432485724197
"Ssynth",0.2,-0.420610000820708
"Ssynth",0.15,-0.559935562039659
"Ssynth",0.11,-0.794891664671358
"Ssynth",0.78,1.24979323666609
"Ssynth",0.12,-0.849466855294396
"Ssynth",0.88,1.53435981264089
"Ssynth",0.81,1.59884686970168
"Ssynth",0.19,-0.547703538797763
"Ssynth",0.02,-1.12822522531518
"Ssynth",0.83,1.9310305381329
"Ssynth",0.25,-0.300311306872764
