"estimator","S","Y","coef","lci","uci","denominator_coef","denominator_lci","denominator_uci"
"benchmark",NA,"Ycons",-0.077957590272009,-0.153470384033319,-0.00244479651069879,NA,NA,NA
"benchmark",NA,"Y05k",-0.0326452014471517,-0.0603236656845263,-0.00496673720977711,NA,NA,NA
"benchmark",NA,"Y10k",-0.048366275515976,-0.0968416446097339,0.00010909357778191,NA,NA,NA
"rsv","Sreal","Ycons",-0.0344939268290827,-0.0696488379522377,0.000660984294072284,0.748521168442265,0.639746119970748,0.857296216913781
"rsv","Ssynth","Ycons",-0.0657788727884485,-0.118713622166269,-0.0128441234106283,0.72156702561051,0.635210280116443,0.807923771104577
"rsv","Sreal","Y05k",-0.00805526251339074,-0.025000017623827,0.00888949259704554,1.79228808996981,1.4562593843985,2.12831679554112
"rsv","Ssynth","Y05k",-0.0244909139595056,-0.0461329419954316,-0.00284888592357962,1.8073529272162,1.51618722013191,2.09851863430048
"rsv","Sreal","Y10k",-0.0245472602909389,-0.0494248853963313,0.000330364814453529,0.756574121319588,0.649313902525067,0.863834340114109
"rsv","Ssynth","Y10k",-0.0339581154198829,-0.0707481695247853,0.0028319386850195,0.753654109497185,0.661069673908631,0.846238545085739
