"estimator","S","Y","coef","se","lci","uci"
"rsv","buffer_holdout","05k",1.78989380812355,0.214252190776934,1.43748031504181,2.14230730120529
"rsv","control_buffer_holdout","05k",1.69141534737888,0.175750411099931,1.40233164624294,1.98049904851481
"rsv","random","05k",1.78558576148249,0.176601386550951,1.4951023302895,2.07606919267548
"rsv","buffer_holdout","10k",0.765200710073703,0.0665351926701761,0.655760057090249,0.874641363057157
"rsv","control_buffer_holdout","10k",0.699830765142569,0.0553867485454209,0.608727670912584,0.790933859372553
"rsv","random","10k",0.751649681480091,0.0531527668774966,0.664221160099135,0.839078202861048
"rsv","buffer_holdout","cons",0.747612330277159,0.0689476958747007,0.63420346264771,0.861021197906607
"rsv","control_buffer_holdout","cons",0.684743271405643,0.0550944950928784,0.594120891327062,0.775365651484224
"rsv","random","cons",0.716046985676006,0.0516527926252786,0.631085702384144,0.801008268967868
