"shrid2","lat","lon","Ycons","Y05k","Y10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04306-568987",19.695,78.585,0,0,0,"Holdout",NA,-21.5241128078331,-0.441566708651303
"11-28-532-04306-568989",19.675,78.615,0,0,1,"Holdout",NA,48.2379558639825,0.989600621084549
"11-28-532-04306-568990",19.655,78.635,0,0,0,"Holdout",NA,67.4100278970629,1.38291526412025
"11-28-532-04306-568991",19.635,78.635,0,1,1,"Holdout",NA,22.1429327099523,0.454261785557202
"11-28-532-04306-568992",19.655,78.605,0,0,1,"Holdout",NA,-2.53272952267099,-0.0519588913705566
"11-28-532-04306-568993",19.675,78.565,0,0,1,"Holdout",NA,-22.7854440463662,-0.467442891725172
"11-28-532-04306-568994",19.675,78.505,0,0,0,"Holdout",NA,44.5041655309561,0.913001993170439
"11-28-532-04306-568995",19.635,78.505,0,0,0,"Holdout",NA,-86.7228087239272,-1.77911654501666
"11-28-532-04306-568996",19.645,78.575,1,0,0,"Holdout",NA,0.487595344119248,0.0100030079371301
"11-28-532-04306-568997",19.635,78.545,1,0,0,"Holdout",NA,13.8312671894211,0.28374814719828
"11-28-532-04306-568998",19.615,78.585,0,0,0,"Holdout",NA,-25.0600589828135,-0.514106567942786
"11-28-532-04306-568999",19.635,78.595,0,0,0,"Holdout",NA,-1.2197550742442,-0.0250232489628433
"11-28-532-04306-569000",19.605,78.605,1,1,1,"Holdout",NA,20.5534767806122,0.421654131549293
"11-28-532-04306-569001",19.605,78.565,0,0,0,"Holdout",NA,26.9652550109622,0.553191623247784
"11-28-532-04306-569002",19.565,78.445,0,0,0,"Holdout",NA,17.7164745259605,0.363453091664064
"11-28-532-04306-569003",19.585,78.525,1,0,0,"Holdout",NA,-28.4072496671848,-0.582774112427513
"11-28-532-04306-569004",19.575,78.555,0,0,0,"Holdout",NA,7.51153290839697,0.154098935129151
"11-28-532-04306-569005",19.585,78.575,1,1,1,"Holdout",NA,36.9129629866642,0.757268637184287
"11-28-532-04306-569006",19.565,78.615,0,1,1,"Holdout",NA,31.4712879070401,0.645632790638039
"11-28-532-04306-569007",19.595,78.645,0,0,1,"Holdout",NA,38.7995266256523,0.795971449428704
"11-28-532-04306-569008",19.615,78.625,0,0,1,"Holdout",NA,23.0964972558689,0.473824141589535
"11-28-532-04306-569009",19.705,78.545,0,0,0,"Holdout",NA,-29.9619339853245,-0.614668427583811
"11-28-532-04306-569010",19.575,78.675,1,0,0,"Holdout",NA,22.972735708227,0.471285176116826
"11-28-532-04306-569011",19.605,78.715,1,1,1,"Holdout",NA,23.064089991529,0.473159307262625
"11-28-532-04306-569012",19.585,78.735,1,0,1,"Holdout",NA,-3.92094965346837,-0.0804381973244169
"11-28-532-04306-569013",19.575,78.775,1,0,1,"Holdout",NA,33.282507753434,0.682789926607193
"11-28-532-04306-569014",19.565,78.735,0,1,1,"Holdout",NA,34.2185223543551,0.701992245897578
"11-28-532-04306-569015",19.575,78.705,1,1,1,"Holdout",NA,-1.18485303386675,-0.0243072343594875
"11-28-532-04306-569016",19.545,78.715,1,1,1,"Holdout",NA,34.9438665319187,0.716872666009928
"11-28-532-04306-802896",19.675,78.535,0,NA,NA,"Holdout",NA,-296.226599212882,-6.07708227499152
"11-28-532-04307-569019",19.765,78.505,0,0,0,"Holdout",NA,5.88037136073366,0.120635691263502
"11-28-532-04307-569020",19.775,78.515,0,0,0,"Holdout",NA,61.9609158016059,1.27112684735506
"11-28-532-04307-569022",19.805,78.515,1,1,1,"Holdout",NA,50.8344290038199,1.0428672113824
"11-28-532-04307-569023",19.805,78.535,0,0,1,"Holdout",NA,73.5093848927242,1.50804344094728
"11-28-532-04307-569024",19.815,78.545,0,0,1,"Holdout",NA,66.9653167903409,1.37379202538567
"11-28-532-04307-569025",19.785,78.545,0,0,0,"Holdout",NA,33.9268625488943,0.696008851297624
"11-28-532-04307-569026",19.755,78.535,1,1,1,"Holdout",NA,64.0566072536712,1.31411991216098
"11-28-532-04307-569028",19.735,78.535,0,0,0,"Holdout",NA,6.88289963599706,0.141202537144222
"11-28-532-04307-569029",19.745,78.555,1,1,1,"Holdout",NA,47.7341294283685,0.979264632656509
"11-28-532-04307-569030",19.755,78.555,1,1,1,"Holdout",NA,57.8405782846893,1.18659821232509
"11-28-532-04307-569031",19.775,78.565,0,0,0,"Holdout",NA,20.3438529834008,0.417353703884005
"11-28-532-04307-569033",19.795,78.565,0,0,0,"Holdout",NA,41.931241826792,0.860218519036016
"11-28-532-04307-569034",19.815,78.555,1,1,1,"Holdout",NA,66.3207258566669,1.36056825632489
"11-28-532-04307-569035",19.805,78.575,0,0,1,"Holdout",NA,27.1615715405725,0.557219052606095
"11-28-532-04307-569036",19.805,78.595,0,0,0,"Holdout",NA,-14.2728057765654,-0.292806301762352
"11-28-532-04307-569038",19.775,78.595,0,0,0,"Holdout",NA,48.222023101472,0.989273760806297
"11-28-532-04307-569040",19.765,78.585,1,1,1,"Holdout",NA,-3.52518514274102,-0.0723190969478721
"11-28-532-04307-569041",19.755,78.575,0,1,1,"Holdout",NA,23.1679970979839,0.475290959303867
"11-28-532-04307-569042",19.745,78.575,0,0,0,"Holdout",NA,27.1931035523958,0.557865931146562
"11-28-532-04307-569044",19.725,78.585,1,0,0,"Holdout",NA,66.5970092216528,1.36623620358112
"11-28-532-04307-569045",19.725,78.605,1,0,0,"Holdout",NA,37.5527815409474,0.770394500985098
"11-28-532-04307-569046",19.745,78.595,0,0,0,"Holdout",NA,-2.29742642986067,-0.0471316535115397
"11-28-532-04307-569047",19.765,78.605,0,0,0,"Holdout",NA,26.8605636015593,0.551043881248529
"11-28-532-04307-569048",19.795,78.625,0,0,1,"Holdout",NA,55.4698074030022,1.13796189897088
"11-28-532-04307-569049",19.755,78.635,0,0,0,"Holdout",NA,71.191582110361,1.46049376700492
"11-28-532-04307-569050",19.785,78.645,0,0,0,"Holdout",NA,70.0910994862647,1.43791738977681
"11-28-532-04307-569052",19.775,78.655,0,0,0,"Holdout",NA,70.5816478505934,1.44798097885965
"11-28-532-04307-569054",19.775,78.675,0,1,1,"Holdout",NA,52.0075303266705,1.0669333596446
"11-28-532-04307-569056",19.775,78.695,0,0,0,"Holdout",NA,47.0054714429185,0.964316229847053
"11-28-532-04307-569057",19.745,78.685,0,0,1,"Holdout",NA,53.5761590395049,1.09911374375642
"11-28-532-04307-569058",19.745,78.705,0,0,0,"Holdout",NA,57.8829136764615,1.18746672197151
"11-28-532-04307-569059",19.735,78.695,0,0,1,"Holdout",NA,28.3727449840324,0.582066249599033
"11-28-532-04307-569060",19.705,78.695,0,1,1,"Holdout",NA,30.5197744440558,0.626112512527691
"11-28-532-04307-569061",19.715,78.685,0,1,1,"Holdout",NA,30.2704488465472,0.620997603288118
"11-28-532-04307-569062",19.725,78.645,0,0,0,"Holdout",NA,-8.8058696363156,-0.180652225103803
"11-28-532-04307-569063",19.715,78.605,0,0,0,"Holdout",NA,40.5803312978353,0.832504618756852
"11-28-532-04307-569064",19.705,78.605,0,0,0,"Holdout",NA,58.11712886022,1.19227164139986
"11-28-532-04307-569065",19.695,78.625,1,0,1,"Holdout",NA,10.3113638195523,0.211537405706628
"11-28-532-04307-569066",19.685,78.635,0,0,1,"Holdout",NA,30.6332918931924,0.628441320541163
"11-28-532-04307-569067",19.675,78.645,0,1,1,"Holdout",NA,24.2886978916092,0.49828211184252
"11-28-532-04307-569068",19.695,78.655,0,0,0,"Holdout",NA,55.4705983520299,1.13797812527308
"11-28-532-04307-569069",19.685,78.675,0,0,0,"Holdout",NA,24.4820214493828,0.502248140448344
"11-28-532-04307-569070",19.655,78.705,1,0,0,"Holdout",NA,14.4356778653251,0.29614761914007
"11-28-532-04307-569071",19.665,78.665,1,1,1,"Holdout",NA,35.5825367050286,0.729974970795808
"11-28-532-04307-569072",19.635,78.665,1,0,1,"Holdout",NA,-29.3664579375083,-0.602452249343972
"11-28-532-04308-569074",19.765,78.735,1,0,0,"Holdout",NA,72.6441475284281,1.49029311513523
"11-28-532-04308-569075",19.765,78.755,1,1,1,"Holdout",NA,45.1220970091998,0.925678844079752
"11-28-532-04308-569076",19.755,78.775,1,1,1,"Holdout",NA,58.6129639465833,1.20244368747089
"11-28-532-04308-569077",19.765,78.785,1,1,1,"Holdout",NA,61.3699585500917,1.25900337212361
"11-28-532-04308-569078",19.755,78.785,0,0,0,"Holdout",NA,35.0177138523254,0.718387642190634
"11-28-532-04308-569079",19.755,78.805,0,1,1,"Holdout",NA,38.2588068228807,0.78487859437149
"11-28-532-04308-569080",19.745,78.835,1,0,0,"Holdout",NA,55.1252797070402,1.13089392074092
"11-28-532-04308-569082",19.725,78.835,1,1,1,"Holdout",NA,9.31785825093809,0.191155660457641
"11-28-532-04308-569084",19.735,78.785,0,0,0,"Holdout",NA,14.9956594831808,0.307635629917071
"11-28-532-04308-569085",19.735,78.775,1,1,1,"Holdout",NA,66.9621662506148,1.37372739213134
"11-28-532-04308-569086",19.745,78.755,0,0,0,"Holdout",NA,53.0989837731458,1.08932450348913
"11-28-532-04308-569087",19.725,78.755,1,0,1,"Holdout",NA,64.7825980758634,1.3290135981739
"11-28-532-04308-569088",19.735,78.725,0,0,0,"Holdout",NA,34.3970694236798,0.705655135162512
"11-28-532-04308-569089",19.725,78.725,0,0,0,"Holdout",NA,51.9099331423249,1.06493115551893
"11-28-532-04308-569091",19.705,78.735,1,1,1,"Holdout",NA,26.1429937396289,0.536322951053223
"11-28-532-04308-569092",19.715,78.745,0,0,1,"Holdout",NA,55.0746473928915,1.12985519991141
"11-28-532-04308-569093",19.715,78.765,1,0,0,"Holdout",NA,9.50436284189773,0.194981798106782
"11-28-532-04308-569096",19.715,78.815,1,0,1,"Holdout",NA,37.4960929262932,0.769231535281732
"11-28-532-04308-569097",19.715,78.825,0,0,1,"Holdout",NA,37.6441235533472,0.772268380393604
"11-28-532-04308-569098",19.715,78.845,0,0,0,"Holdout",NA,28.6619253660784,0.587998778881267
"11-28-532-04308-569099",19.685,78.845,1,0,1,"Holdout",NA,7.40696656597449,0.151953758876293
"11-28-532-04308-569100",19.695,78.815,0,0,0,"Holdout",NA,-1.2341534143985,-0.0253186305996494
"11-28-532-04308-569102",19.705,78.785,0,0,0,"Holdout",NA,23.390422943495,0.479854020713097
"11-28-532-04308-569103",19.695,78.775,1,1,1,"Holdout",NA,14.790666981546,0.303430213180352
"11-28-532-04308-569104",19.695,78.755,1,1,1,"Holdout",NA,-4.51407544112224,-0.0926061600278653
"11-28-532-04308-569105",19.685,78.735,1,0,1,"Holdout",NA,6.36484100180407,0.130574575470199
"11-28-532-04308-569106",19.685,78.715,1,0,0,"Holdout",NA,12.7159154076197,0.26086672952149
"11-28-532-04308-569107",19.655,78.735,0,1,1,"Holdout",NA,-11.1754415896236,-0.22926394246824
"11-28-532-04308-569108",19.635,78.735,1,0,0,"Holdout",NA,-2.4224826404789,-0.0496971789672044
"11-28-532-04308-569109",19.635,78.705,1,1,1,"Holdout",NA,8.7806799800181,0.180135459849753
"11-28-532-04308-569110",19.615,78.745,1,1,1,"Holdout",NA,9.78829403180873,0.200806640325915
"11-28-532-04308-569111",19.595,78.775,0,1,1,"Holdout",NA,-8.75620950761848,-0.17963344863781
"11-28-532-04308-569112",19.625,78.775,1,1,1,"Holdout",NA,5.22072197743636,0.107102998434442
"11-28-532-04308-569113",19.655,78.765,1,1,1,"Holdout",NA,-12.8499812043173,-0.26361708644068
"11-28-532-04308-569114",19.675,78.765,0,1,1,"Holdout",NA,-19.1736225418224,-0.393346451689001
"11-28-532-04308-569115",19.685,78.785,0,1,1,"Holdout",NA,4.4586400358989,0.0914689038888665
"11-28-532-04308-569116",19.675,78.795,0,0,1,"Holdout",NA,0.813995531072265,0.016699100711907
"11-28-532-04308-569117",19.675,78.815,0,0,1,"Holdout",NA,35.6031085566177,0.730397001886156
"11-28-532-04308-569118",19.665,78.815,1,1,1,"Holdout",NA,35.8979287416342,0.736445231604331
"11-28-532-04308-569119",19.675,78.835,0,0,0,"Holdout",NA,5.25459768838019,0.107797957911668
"11-28-532-04309-569120",19.665,78.285,1,0,0,"Holdout",NA,-7.36723430793576,-0.151138652462101
