"shrid2","lat","lon","Ycons","Y05k","Y10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-539-04618-576553",17.515,79.265,0,0,0,"Holdout",NA,1.34826338915674,0.0276595942634316
"11-28-539-04618-576554",17.525,79.235,1,0,1,"Holdout",NA,-1.007364752522,-0.0206660661070588
"11-28-539-04618-576555",17.545,79.205,0,0,0,"Holdout",NA,-72.798315306136,-1.49345586376
"11-28-539-04618-576556",17.545,79.155,0,0,0,"Holdout",NA,-32.206716389735,-0.660720090052016
"11-28-539-04618-576557",17.525,79.185,0,0,1,"Holdout",NA,-45.3565499823874,-0.930488641753098
"11-28-539-04618-576558",17.505,79.225,0,0,0,"Holdout",NA,-3.29209360466903,-0.0675372290864724
"11-28-539-04618-576559",17.485,79.255,0,0,0,"Holdout",NA,21.2858042672651,0.436677814096548
"11-28-539-04618-576560",17.515,79.305,0,0,0,"Holdout",NA,30.3957968843896,0.623569115572974
"11-28-539-04618-576561",17.485,79.315,0,0,0,"Holdout",NA,30.2845560471546,0.621287012203418
"11-28-539-04618-576562",17.465,79.305,0,0,0,"Holdout",NA,2.63442786495621,0.0540452306626387
"11-28-539-04618-576563",17.475,79.335,0,0,0,"Holdout",NA,-17.62243421889,-0.361523856798756
"11-28-539-04618-576564",17.505,79.345,1,0,0,"Holdout",NA,9.0030102456358,0.184696560439537
"11-28-539-04618-576565",17.485,79.355,0,0,0,"Holdout",NA,-19.8722845936428,-0.407679488568906
"11-28-539-04619-576566",17.485,79.385,0,0,0,"Holdout",NA,0.365013739221896,0.00748824896429948
"11-28-539-04619-576567",17.475,79.405,0,0,0,"Holdout",NA,5.85369986414815,0.120088526087998
"11-28-539-04619-576568",17.485,79.425,0,0,0,"Holdout",NA,-4.28983518573306,-0.0880058760392359
"11-28-539-04619-576569",17.495,79.465,0,0,0,"Holdout",NA,17.0192023047828,0.349148567129731
"11-28-539-04619-576570",17.495,79.505,0,0,0,"Holdout",NA,-8.02204689353365,-0.164572118490986
"11-28-539-04619-576571",17.525,79.535,1,0,0,"Holdout",NA,-24.7157637835157,-0.507043359376854
"11-28-539-04619-576572",17.465,79.495,0,0,0,"Holdout",NA,3.9008810719592,0.0800264908088726
"11-28-539-04619-576573",17.465,79.455,0,0,0,"Holdout",NA,-139.63442068202,-2.86459711977315
"11-28-539-04619-576574",17.445,79.415,0,0,0,"Holdout",NA,-80.6488368501195,-1.65450914341534
"11-28-539-04619-576575",17.435,79.435,0,0,0,"Holdout",NA,-24.733273364083,-0.507402568043431
"11-28-539-04619-576576",17.425,79.465,0,0,0,"Holdout",NA,0.521245695929145,0.0106933441765986
"11-28-539-04619-576578",17.445,79.485,0,0,0,"Holdout",NA,-4.78974162939449,-0.0982614459171647
"11-28-539-04619-576579",17.455,79.515,0,0,0,"Holdout",NA,-24.1731331704112,-0.495911304086995
"11-28-539-04619-576580",17.485,79.525,0,0,0,"Holdout",NA,21.8702246971774,0.44866718657424
"11-28-539-04619-576581",17.495,79.545,0,0,0,"Holdout",NA,1.00781652623473,0.0206753342350032
"11-28-539-04620-576582",17.505,79.575,0,0,0,"Buffer",0,11.4696703780514,0.235300039698192
"11-28-539-04620-576583",17.485,79.615,0,0,0,"Buffer",0,-1.32745284920129,-0.0272326664864108
"11-28-539-04620-576584",17.475,79.645,0,0,1,"Buffer",0,-37.6596699358892,-0.772587314095159
"11-28-539-04620-576585",17.455,79.665,0,0,0,"Buffer",0,15.0909459969274,0.30959043068538
"11-28-539-04620-576587",17.425,79.665,1,0,0,"Buffer",0,-13.5398978476516,-0.277770711454669
"11-28-539-04620-576588",17.425,79.645,1,0,1,"Buffer",0,-22.7951986020635,-0.467643006224297
"11-28-539-04620-576589",17.445,79.645,1,0,0,"Buffer",0,-9.0776255509031,-0.186227291813045
"11-28-539-04620-576590",17.455,79.585,0,0,0,"Buffer",0,11.519212721673,0.236316399805907
"11-28-539-04620-576591",17.455,79.535,0,0,0,"Buffer",0,24.4076700360392,0.500722822811941
"11-28-539-04620-576592",17.435,79.515,0,0,0,"Buffer",0,14.4720976153507,0.296894769524027
"11-28-539-04620-576593",17.405,79.515,0,0,0,"Buffer",0,-7.44857129034596,-0.152807278896796
"11-28-539-04620-576594",17.405,79.535,0,0,0,"Buffer",0,-5.24642568592562,-0.107630309458086
"11-28-539-04620-576595",17.425,79.565,0,0,0,"Buffer",0,-7.34254502950802,-0.150632152449225
"11-28-539-04620-576596",17.435,79.605,0,0,0,"Buffer",0,-51.9592993480525,-1.06594390216156
"11-28-539-04620-576597",17.415,79.615,0,0,0,"Buffer",0,13.7091093049214,0.281242080840242
"11-28-539-04620-576598",17.395,79.595,0,0,0,"Buffer",0,-7.42814638428559,-0.152388262390791
"11-28-539-04620-576599",17.375,79.545,1,0,0,"Buffer",0,-58.4625250786705,-1.19935743734989
"11-28-539-04620-576600",17.365,79.575,0,0,0,"Buffer",0,2.44146932015055,0.0500866902899562
"11-28-539-04620-576601",17.375,79.615,1,0,0,"Buffer",0,5.64849448115046,0.115878742094725
"11-28-539-04621-576602",17.405,79.645,1,0,0,"Buffer",0,-46.8899328503164,-0.961945958119109
"11-28-539-04621-576603",17.385,79.675,0,0,0,"Buffer",0,-12.9716747974727,-0.266113627871834
"11-28-539-04621-576604",17.415,79.705,0,0,0,"Buffer",0,-41.2567771227372,-0.846381890222096
"11-28-539-04621-576605",17.405,79.735,0,0,0,"Buffer",0,-79.1378255704215,-1.62351077969796
"11-28-539-04621-576606",17.415,79.755,0,0,0,"Buffer",0,-28.6066220426156,-0.586864232396727
"11-28-539-04621-576607",17.385,79.775,0,0,0,"Buffer",0,-37.5051499473754,-0.769417339873315
"11-28-539-04621-576608",17.375,79.745,0,0,0,"Buffer",0,-6.38935595041461,-0.131077499110646
"11-28-539-04621-576609",17.385,79.705,0,0,0,"Buffer",0,9.46789685664392,0.194233699208119
"11-28-539-04621-576610",17.375,79.715,1,0,0,"Buffer",0,-2.10850883631901,-0.0432560131666257
"11-28-539-04621-576611",17.335,79.685,1,0,0,"Buffer",0,10.2988717412436,0.21128113099035
"11-28-539-04621-576612",17.365,79.655,0,0,0,"Buffer",0,-29.882688612307,-0.613042710470563
"11-28-539-04621-576613",17.355,79.625,0,0,0,"Buffer",0,-55.3034148587017,-1.1345483595239
"11-28-539-04621-576614",17.325,79.625,0,0,0,"Buffer",0,-13.5174337247249,-0.277309860458763
"11-28-539-04621-576615",17.335,79.645,0,0,0,"Buffer",0,-19.2735804502125,-0.395397086017373
"11-28-539-04621-576616",17.325,79.665,0,0,1,"Buffer",0,-2.86956163558788,-0.058868994880823
"11-28-539-04621-576618",17.345,79.715,0,0,0,"Buffer",0,30.4460207150051,0.624599456371629
"11-28-539-04621-576619",17.355,79.735,0,0,0,"Buffer",0,16.1229061168579,0.330761070222787
"11-28-539-04621-576620",17.345,79.765,0,0,0,"Buffer",0,-29.0358696954198,-0.595670238708684
"11-28-539-04621-576621",17.335,79.785,0,0,0,"Buffer",0,-4.51990756868604,-0.0927258059986783
"11-28-539-04621-576622",17.315,79.755,0,0,0,"Buffer",0,-36.7262611700277,-0.753438453454652
"11-28-539-04621-576623",17.315,79.785,1,0,1,"Buffer",0,-16.4737636844626,-0.337958905632582
"11-28-539-04622-576624",17.295,79.595,0,0,0,"Control",0,-21.2964586864111,-0.436896389274856
"11-28-539-04622-576625",17.285,79.625,0,0,0,"Control",0,-50.2579503055942,-1.03104076335846
"11-28-539-04622-576626",17.305,79.655,0,0,0,"Control",0,-29.9739122302782,-0.614914161019927
"11-28-539-04622-576627",17.285,79.675,0,0,0,"Control",0,0.270178247317827,0.00554270089933266
"11-28-539-04622-576628",17.295,79.685,0,0,0,"Control",0,-16.2360491161757,-0.333082196406325
"11-28-539-04622-576629",17.285,79.725,0,0,0,"Control",0,-48.7663206442059,-1.00044001312145
"11-28-539-04622-576631",17.285,79.765,0,0,0,"Control",0,-50.0631299214797,-1.02704402739264
"11-28-539-04622-576632",17.295,79.775,0,0,0,"Control",0,-28.7953743495516,-0.590736481890503
"11-28-539-04622-576633",17.285,79.795,1,0,0,"Control",0,-12.6967853716595,-0.26047427724758
"11-28-539-04622-576634",17.265,79.775,0,0,1,"Control",0,-53.93046491805,-1.10638232119056
"11-28-539-04622-576635",17.255,79.725,0,0,0,"Control",0,-80.5553150325644,-1.65259054535123
"11-28-539-04622-576636",17.255,79.695,0,0,0,"Control",0,24.384580168234,0.500249134673389
"11-28-539-04622-576637",17.245,79.675,0,0,0,"Control",0,1.19291886913127,0.0244727047954624
"11-28-539-04622-576638",17.255,79.635,0,0,0,"Control",0,-15.8803955831923,-0.325785971870532
"11-28-539-04622-576639",17.225,79.645,0,0,0,"Control",0,-33.374682321681,-0.684680885880893
"11-28-539-04622-576641",17.215,79.685,0,0,0,"Control",0,-14.3426377898067,-0.294238904003417
"11-28-539-04622-576642",17.225,79.715,0,0,0,"Control",0,-98.1410184511699,-2.01336087057669
"11-28-539-04622-576643",17.235,79.745,0,0,0,"Control",0,-50.57053466215,-1.0374534246715
"11-28-539-04623-576644",17.385,79.455,0,0,0,"Buffer",0,-15.4824121407479,-0.317621350157813
"11-28-539-04623-576645",17.405,79.485,0,0,0,"Buffer",0,43.2992159085219,0.888282477731212
"11-28-539-04623-576646",17.385,79.495,0,0,0,"Buffer",0,37.7400511803311,0.774236333586109
"11-28-539-04623-576647",17.375,79.505,0,0,0,"Buffer",0,-20.2853607914157,-0.41615373783071
"11-28-539-04623-576648",17.365,79.525,1,0,0,"Buffer",0,-29.0639675050715,-0.596246664665889
"11-28-539-04623-576649",17.335,79.495,0,0,0,"Buffer",0,0.6258882399162,0.0128400837029055
"11-28-539-04623-576651",17.285,79.505,0,0,0,"Buffer",0,13.6706502619396,0.280453094405401
"11-28-539-04623-576652",17.295,79.525,0,0,0,"Buffer",0,-9.54182001236356,-0.195750231148629
"11-28-539-04623-576653",17.285,79.555,0,0,0,"Buffer",0,-59.2669595952844,-1.21586039405701
"11-28-539-04623-576654",17.305,79.545,0,0,1,"Buffer",0,-107.066546102132,-2.19646787726257
"11-28-539-04623-576655",17.325,79.535,0,0,0,"Buffer",0,-51.4407701525572,-1.0553062869326
"11-28-539-04623-576656",17.345,79.535,0,0,0,"Buffer",0,-63.1838298042366,-1.29621490166542
"11-28-539-04623-576657",17.335,79.565,0,0,0,"Buffer",0,-46.8643332733423,-0.961420783351245
"11-28-539-04623-576658",17.345,79.595,0,0,0,"Buffer",0,-56.5947947260604,-1.16104098956813
"11-28-539-04624-576659",17.345,79.315,0,0,0,"Holdout",NA,-7.26256562729319,-0.148991376742871
"11-28-539-04624-576660",17.315,79.315,0,0,1,"Holdout",NA,-33.6776406358169,-0.690896069141914
"11-28-539-04624-576661",17.295,79.305,0,0,1,"Holdout",NA,23.4818514893188,0.481729675352925
"11-28-539-04624-576662",17.285,79.345,0,0,0,"Holdout",NA,14.2456377899072,0.292248951103746
"11-28-539-04624-576663",17.305,79.355,0,1,1,"Holdout",NA,36.5809333082599,0.750457055514164
"11-28-539-04624-576664",17.325,79.335,0,0,0,"Holdout",NA,4.87549399247429,0.100020653790785
"11-28-539-04624-576665",17.345,79.345,0,0,0,"Holdout",NA,12.9354401031702,0.265370273902033
"11-28-539-04624-576666",17.335,79.365,0,0,1,"Holdout",NA,-14.8274945032969,-0.304185728992433
"11-28-539-04624-576667",17.335,79.395,0,0,1,"Holdout",NA,-64.2647329794007,-1.31838960692223
"11-28-539-04624-576668",17.315,79.395,0,0,0,"Holdout",NA,-13.9153507146896,-0.285473118900301
"11-28-539-04624-576669",17.305,79.375,0,0,0,"Holdout",NA,-8.52333166242014,-0.174855964681091
"11-28-539-04624-576670",17.275,79.385,0,0,0,"Holdout",NA,-17.7283539070661,-0.363696796910475
"11-28-539-04624-576671",17.245,79.375,0,0,0,"Holdout",NA,-5.49623201576611,-0.112755080911048
"11-28-539-04624-576672",17.255,79.425,0,0,0,"Holdout",NA,-130.203151276322,-2.67111483192887
"11-28-539-04624-576674",17.285,79.415,0,0,0,"Holdout",NA,-53.9332938006582,-1.10644035565607
"11-28-539-04624-576675",17.325,79.435,0,0,0,"Holdout",NA,56.7741302937843,1.16472005486067
"11-28-539-04624-576676",17.315,79.465,0,0,0,"Holdout",NA,23.923960629182,0.490799534793683
"11-28-539-04624-576677",17.295,79.445,0,0,0,"Holdout",NA,-1.93858986997839,-0.0397701292477703
"11-28-539-04624-576678",17.285,79.475,0,0,0,"Holdout",NA,47.043698065293,0.965100448178162
"11-28-539-04625-576679",17.455,79.265,0,0,0,"Holdout",NA,-11.6544908133045,-0.239091626929444
"11-28-539-04625-576680",17.445,79.305,0,0,0,"Holdout",NA,11.0244868036956,0.226167108300323
"11-28-539-04625-576681",17.435,79.335,0,0,0,"Holdout",NA,12.3515416801314,0.253391610384061
"11-28-539-04625-576682",17.455,79.355,1,0,0,"Holdout",NA,-61.902836559319,-1.26993535295589
"11-28-539-04625-576683",17.465,79.375,0,0,1,"Holdout",NA,-23.5174073622976,-0.482459103317954
"11-28-539-04625-576684",17.445,79.395,0,0,1,"Holdout",NA,-3.107021374947,-0.0637404762971368
"11-28-539-04625-576685",17.415,79.405,0,0,0,"Holdout",NA,-28.4064983443202,-0.582758699055198
"11-28-539-04625-576686",17.445,79.375,0,0,0,"Holdout",NA,-42.2754564514173,-0.867280074614286
"11-28-539-04625-576687",17.405,79.365,0,0,0,"Holdout",NA,-33.6625644458131,-0.690586781430108
"11-28-539-04625-576688",17.405,79.335,0,0,0,"Holdout",NA,-11.9507797780457,-0.2451699886319
"11-28-539-04625-576689",17.425,79.315,0,0,0,"Holdout",NA,-26.2410214829705,-0.538333988087377
"11-28-539-04625-576690",17.415,79.275,0,0,1,"Holdout",NA,-28.8829496854105,-0.592533088011252
"11-28-539-04625-576691",17.415,79.245,0,0,1,"Holdout",NA,3.590043972473,0.0736496744368226
"11-28-539-04625-576692",17.435,79.225,0,0,1,"Holdout",NA,-11.5793191005917,-0.237549480869228
"11-28-539-04625-576693",17.395,79.205,0,0,1,"Holdout",NA,-29.6877840990265,-0.609044248596712
"11-28-539-04625-576694",17.385,79.235,0,0,0,"Holdout",NA,-10.3238757597355,-0.211794087888832
"11-28-539-04625-576695",17.375,79.275,0,0,1,"Holdout",NA,-57.3609399004865,-1.17675844124852
"11-28-539-04625-576696",17.395,79.275,0,0,1,"Holdout",NA,-33.9462026731546,-0.696405613528464
"11-28-539-04625-576697",17.395,79.295,0,0,0,"Holdout",NA,-10.544719987265,-0.216324702439383
"11-28-539-04625-576698",17.375,79.325,0,0,0,"Holdout",NA,-10.1388394521574,-0.207998072041504
"11-28-539-04625-576699",17.365,79.355,0,0,0,"Holdout",NA,17.1496226979273,0.351824138673884
"11-28-539-04625-576700",17.365,79.405,0,0,0,"Holdout",NA,59.6325583447908,1.22336064449464
"11-28-539-04625-576701",17.385,79.405,1,0,1,"Holdout",NA,47.9450893050725,0.983592469963688
"11-28-539-04626-576702",17.495,79.075,0,0,0,"Holdout",NA,-68.2663242993479,-1.40048216629005
"11-28-539-04626-576703",17.535,79.085,0,0,1,"Holdout",NA,2.51523270795335,0.0515999445951091
"11-28-539-04626-576704",17.535,79.105,0,0,0,"Holdout",NA,-11.4051680765798,-0.233976776378791
"11-28-539-04626-576705",17.535,79.125,0,0,0,"Holdout",NA,-22.7407811920983,-0.466526634235996
"11-28-539-04626-576706",17.525,79.115,0,0,0,"Holdout",NA,-19.3460410170803,-0.396883612979226
"11-28-539-04626-576707",17.495,79.115,0,0,0,"Holdout",NA,27.956135288903,0.573519510715396
"11-28-539-04626-576708",17.505,79.135,0,0,1,"Holdout",NA,17.9746003394172,0.368748537143448
"11-28-539-04626-576709",17.505,79.165,0,0,0,"Holdout",NA,21.7033320688787,0.44524338791485
"11-28-539-04626-576710",17.485,79.195,0,0,0,"Holdout",NA,1.10757845755129,0.0227219480979503
"11-28-539-04626-576711",17.465,79.145,0,0,0,"Holdout",NA,5.2545695915511,0.107797381505827
"11-28-539-04626-576712",17.475,79.115,0,1,1,"Holdout",NA,8.23181252626611,0.168875455908922
"11-28-539-04626-576713",17.455,79.095,0,0,1,"Holdout",NA,-19.8246692056821,-0.406702659914889
"11-28-539-04626-576715",17.445,79.175,0,0,1,"Holdout",NA,-17.1330901997296,-0.351484974830984
"11-28-539-04626-576716",17.425,79.145,0,0,0,"Holdout",NA,33.9100795814327,0.695664549083192
"11-28-539-04626-576717",17.405,79.145,0,0,1,"Holdout",NA,2.27449821830496,0.046661281747449
"11-28-539-04626-576718",17.395,79.165,0,0,1,"Holdout",NA,-44.3284172780087,-0.909396521562942
"11-28-539-04626-576719",17.375,79.185,0,0,0,"Holdout",NA,-21.2610993122844,-0.436170992479527
"11-28-539-04626-576720",17.415,79.185,0,0,1,"Holdout",NA,9.04614285834197,0.185581425056176
"11-28-539-04626-576721",17.435,79.195,0,0,0,"Holdout",NA,1.29293372392024,0.0265245073779749
"11-28-539-04626-576722",17.465,79.225,0,0,0,"Holdout",NA,9.25676063082425,0.189902244102646
"11-28-539-04627-576723",17.415,78.955,0,0,0,"Holdout",NA,-11.2888386932576,-0.231590281596329
"11-28-539-04627-576724",17.445,78.965,0,0,0,"Holdout",NA,-5.1483741261904,-0.105618783831132
"11-28-539-04627-576725",17.445,78.995,0,0,0,"Holdout",NA,-45.8615447633636,-0.94084859876097
"11-28-539-04627-576726",17.455,79.025,0,0,0,"Holdout",NA,-75.8915117886811,-1.55691272268857
"11-28-539-04627-576727",17.435,79.075,0,0,1,"Holdout",NA,-48.3689605795844,-0.992288179991278
"11-28-539-04627-576729",17.435,79.115,0,0,1,"Holdout",NA,-39.6436038163597,-0.813287674737311
"11-28-539-04627-576730",17.405,79.135,0,0,1,"Holdout",NA,-7.76420336451473,-0.159282464070735
"11-28-539-04627-576731",17.405,79.095,0,0,0,"Holdout",NA,-39.9160865462672,-0.81887765204712
"11-28-539-04627-576732",17.385,79.035,0,0,1,"Holdout",NA,-77.8307684054348,-1.59669653023201
"11-28-539-04627-576733",17.405,79.035,0,0,0,"Holdout",NA,-22.994447704138,-0.471730597243273
"11-28-539-04627-576734",17.405,78.995,0,0,0,"Holdout",NA,-10.4267957052618,-0.21390548834498
"11-28-539-04627-576735",17.375,78.955,0,0,0,"Holdout",NA,38.281530275853,0.785344765517672
"11-28-539-04627-576736",17.365,78.935,0,0,0,"Holdout",NA,10.6470321904466,0.218423635074475
"11-28-539-04627-576737",17.345,78.935,0,0,0,"Holdout",NA,25.0951214316303,0.514825873321806
"11-28-539-04627-576738",17.335,78.985,0,0,0,"Holdout",NA,43.9678819788608,0.902000147699886
"11-28-539-04627-576739",17.335,79.025,0,0,1,"Holdout",NA,37.6166956422049,0.771705697389829
"11-28-539-04627-576740",17.345,79.015,0,0,0,"Holdout",NA,-3.93965008568826,-0.0808218362868873
"11-28-539-04627-576741",17.365,79.005,0,0,0,"Holdout",NA,11.0653987577045,0.227006416151826
"11-28-539-04627-576742",17.345,79.035,0,0,0,"Holdout",NA,11.7489760676151,0.241029989877758
"11-28-539-04627-576743",17.415,79.055,0,0,0,"Holdout",NA,-3.55621750834815,-0.0729557252570221
"11-28-539-04627-576744",17.375,79.055,0,0,1,"Holdout",NA,-5.56264596694802,-0.114117561682904
"11-28-539-04627-576745",17.365,79.085,0,0,1,"Holdout",NA,-25.851155256209,-0.530335890878803
"11-28-539-04627-576746",17.375,79.115,0,0,1,"Holdout",NA,-52.2089971407155,-1.07106644697668
"11-28-539-04627-576747",17.385,79.125,0,0,1,"Holdout",NA,-44.7362151740082,-0.917762486578045
"11-28-539-04627-576748",17.385,79.155,0,0,1,"Holdout",NA,-44.7662347400737,-0.918378337326507
"11-28-539-04627-576749",17.375,79.165,1,0,1,"Holdout",NA,-6.05866149863184,-0.124293309585779
"11-28-539-04627-576750",17.355,79.145,0,0,0,"Holdout",NA,6.25004589622876,0.128219556362526
"11-28-539-04628-576751",17.525,78.835,0,0,1,"Holdout",NA,-31.3756632577047,-0.643671053025438
"11-28-539-04628-576752",17.535,78.865,0,0,0,"Holdout",NA,-44.808790780281,-0.919251373570802
"11-28-539-04628-576753",17.555,78.845,0,0,0,"Holdout",NA,-43.9032763132764,-0.900674763867946
"11-28-539-04628-576754",17.575,78.875,0,0,1,"Holdout",NA,7.80546390113106,0.160128923086888
"11-28-539-04628-576755",17.575,78.895,0,0,0,"Holdout",NA,-9.64727571673559,-0.197913652642644
"11-28-539-04628-576757",17.525,78.965,0,0,0,"Holdout",NA,-27.9814735803301,-0.574039325215914
"11-28-539-04628-576758",17.545,78.975,0,0,0,"Holdout",NA,6.34157118455304,0.130097195672658
"11-28-539-04628-576759",17.515,78.985,0,0,0,"Holdout",NA,-20.2365198109237,-0.415151766172425
"11-28-539-04628-576760",17.525,79.015,0,0,0,"Holdout",NA,-93.2200948302456,-1.91240822894097
"11-28-539-04628-576761",17.505,79.035,0,0,0,"Holdout",NA,-116.787117382498,-2.39588518680759
"11-28-539-04628-576762",17.485,79.015,0,0,0,"Holdout",NA,-58.9628716082354,-1.20962203558061
"11-28-539-04628-576763",17.485,78.985,0,0,0,"Holdout",NA,-17.8622010855335,-0.366442668881403
"11-28-539-04628-576764",17.475,78.965,0,0,0,"Holdout",NA,8.18533083196307,0.16792188495577
"11-28-539-04628-576765",17.465,78.955,0,0,0,"Holdout",NA,2.0077909407635,0.041189787717996
"11-28-539-04628-576766",17.485,78.945,0,0,0,"Holdout",NA,11.8067237619181,0.242214682577208
"11-28-539-04628-576767",17.505,78.965,0,0,1,"Holdout",NA,15.0998078234358,0.309772230864505
"11-28-539-04628-576768",17.515,78.945,0,0,0,"Holdout",NA,-25.0912123669355,-0.514745678944152
"11-28-539-04628-576770",17.485,78.845,0,0,0,"Holdout",NA,-16.2798973839218,-0.333981742670629
"11-28-539-04628-576771",17.475,78.865,0,0,0,"Holdout",NA,-11.4013076628351,-0.233897580074325
"11-28-539-04628-576772",17.465,78.905,0,0,0,"Holdout",NA,38.1416402106,0.782474923855054
"11-28-539-04628-576773",17.455,78.935,0,0,0,"Holdout",NA,18.8575154674893,0.386861521896964
"11-28-539-04628-576774",17.385,78.905,0,0,0,"Holdout",NA,-24.0307512600217,-0.492990342275306
"11-28-539-04628-576775",17.415,78.915,0,0,0,"Holdout",NA,-28.2124980341992,-0.578778786889605
"11-28-539-04628-576776",17.425,78.945,0,0,0,"Holdout",NA,-10.7623784371589,-0.220789960830651
"11-28-539-04628-802926",17.505,78.895,0,NA,NA,"Holdout",NA,7.28345512046404,0.149419924243398
"11-28-539-04629-576777",17.485,78.705,0,0,0,"Treatment",1,-95.4637100956541,-1.9584359475778
"11-28-539-04629-576778",17.495,78.715,0,0,0,"Treatment",1,-65.7539293273627,-1.34894043778694
"11-28-539-04629-576779",17.505,78.725,0,0,0,"Treatment",1,-49.9614036678749,-1.02495711550044
"11-28-539-04629-576780",17.495,78.745,0,0,1,"Treatment",1,-41.6575661204594,-0.854604067840652
"11-28-539-04629-576781",17.495,78.765,0,0,0,"Treatment",1,-45.7129923462517,-0.937801049137348
"11-28-539-04629-576782",17.515,78.785,0,0,0,"Treatment",1,-71.9652265108501,-1.47636506514577
"11-28-539-04629-576783",17.495,78.815,0,0,0,"Treatment",1,-52.3558647617506,-1.07407943304523
"11-28-539-04629-576784",17.465,78.775,0,0,1,"Treatment",1,-32.1525492163067,-0.659608851660857
"11-28-539-04629-576785",17.485,78.735,0,0,1,"Treatment",1,-33.836296442487,-0.694150889583769
"11-28-539-04629-576786",17.465,78.735,0,0,0,"Treatment",1,-115.513697307807,-2.36976100152145
"11-28-539-04629-576787",17.445,78.765,0,0,1,"Treatment",1,-17.0957548891424,-0.350719041741911
"11-28-539-04629-576788",17.415,78.755,0,0,0,"Treatment",1,-39.8593419203921,-0.817713537274771
"11-28-539-04629-576789",17.395,78.745,0,0,0,"Treatment",1,-24.4488412198013,-0.501567448756221
"11-28-539-04629-576790",17.415,78.775,0,0,0,"Treatment",1,15.828027918335,0.324711650358784
"11-28-539-04629-576791",17.425,78.795,0,0,0,"Treatment",1,-1.48214450795146,-0.0304061625194397
"11-28-539-04629-576792",17.445,78.795,0,0,0,"Treatment",1,-30.6138727284128,-0.628042936795777
"11-28-539-04629-576793",17.445,78.825,0,0,0,"Treatment",1,4.96372391756739,0.101830688795514
"11-28-539-04629-576794",17.465,78.835,0,0,0,"Treatment",1,-22.1707789119417,-0.454833049788655
"11-28-539-04629-576795",17.455,78.865,0,0,0,"Treatment",1,-16.9814635347103,-0.348374357078043
"11-28-539-04629-576796",17.425,78.835,0,0,0,"Treatment",1,-7.56450329937994,-0.155185621554331
"11-28-539-04629-576797",17.445,78.895,0,0,0,"Treatment",1,32.6736207914733,0.67029862375378
"11-28-539-04629-576798",17.425,78.865,0,0,0,"Treatment",1,-30.8867615453098,-0.633641244971392
"11-28-539-04629-576799",17.405,78.885,0,0,0,"Treatment",1,-0.391527694238201,-0.00803218217791886
"11-28-539-04629-576800",17.435,78.905,0,0,0,"Treatment",1,28.35862004463,0.581776476772737
"11-28-539-04630-576802",17.365,78.745,0,0,0,"Control",0,19.9865522076082,0.410023686197612
"11-28-539-04630-576803",17.385,78.775,0,0,0,"Control",0,15.5451512635028,0.318908441903981
"11-28-539-04630-576804",17.385,78.785,0,0,0,"Control",0,-89.1889252403073,-1.82970887200411
"11-28-539-04630-576805",17.395,78.805,0,0,0,"Control",0,-9.07615699771354,-0.186197164476129
"11-28-539-04630-576806",17.395,78.835,0,0,0,"Control",0,16.2651769639496,0.333679753573325
"11-28-539-04630-576807",17.375,78.875,0,0,0,"Control",0,40.5875862058698,0.832653453038245
"11-28-539-04630-576808",17.375,78.855,0,0,1,"Control",0,34.20741126275,0.701764302093651
"11-28-539-04630-576809",17.375,78.835,0,0,0,"Control",0,-6.29334415549435,-0.129107819214747
"11-28-539-04630-576811",17.365,78.805,0,0,0,"Control",0,-9.34507360540279,-0.191713982865772
"11-28-539-04630-576812",17.365,78.775,0,0,0,"Control",0,6.05786522812387,0.124276974113533
"11-28-539-04630-576813",17.345,78.745,0,0,0,"Control",0,-77.8541137051866,-1.59717545855143
"11-28-539-04630-576814",17.355,78.835,0,0,0,"Control",0,28.7957073200644,0.59074331277337
"11-28-539-04630-576815",17.345,78.875,0,0,1,"Control",0,35.7471585887826,0.733352185179982
"11-28-539-04630-576816",17.355,78.895,0,0,1,"Control",0,31.8415182914351,0.653228058965219
"11-28-539-04630-576817",17.365,78.905,0,0,1,"Control",0,32.7291764208626,0.671438346288942
"11-28-539-04630-576818",17.335,78.865,0,0,0,"Control",0,-15.106280442332,-0.309905016501148
"11-28-539-04630-576819",17.325,78.835,0,0,0,"Control",0,3.94543594967757,0.0809405331614708
"11-28-539-04630-576820",17.325,78.795,0,0,0,"Control",0,-32.7267614417732,-0.671388803045163
"11-28-539-04630-576821",17.315,78.805,0,0,1,"Control",0,-16.5898344265337,-0.340340094395371
"11-28-539-04630-576822",17.305,78.835,0,0,0,"Control",0,6.35743997129396,0.130422743489381
"11-28-539-04630-576823",17.305,78.865,0,0,0,"Control",0,-17.5972442794521,-0.361007085736088
"11-28-539-04631-576825",17.285,78.765,0,0,1,"Buffer",0,-35.486549993731,-0.728005805489885
"11-28-539-04631-576826",17.265,78.805,0,0,0,"Buffer",0,-4.22897645991582,-0.086757360595568
"11-28-539-04631-576827",17.195,78.825,0,0,1,"Buffer",0,46.6710099926705,0.957454760430158
"11-28-539-04631-576828",17.215,78.855,0,0,0,"Buffer",0,-8.00359632623998,-0.164193605502072
"11-28-539-04631-576829",17.245,78.845,0,0,0,"Buffer",0,-62.155502226999,-1.27511878366278
"11-28-539-04631-576830",17.275,78.845,0,0,0,"Buffer",0,10.8967966016291,0.223547546567075
