"estimator","S","Y","coef","lci","uci","denominator_coef","denominator_lci","denominator_uci"
"benchmark",NA,"Ycons",-0.0743854084060271,-0.148453671441531,-0.000317145370523061,NA,NA,NA
"benchmark",NA,"Y05k",-0.0233546552452952,-0.0482790836383435,0.00156977314775311,NA,NA,NA
"benchmark",NA,"Y10k",-0.0389646005023635,-0.0845287130058994,0.00659951200117243,NA,NA,NA
"rsv","Sreal","Ycons",-0.0298368724161342,-0.0647031483352535,0.00502940350298513,0.727664841143813,0.614529789887825,0.8407998923998
"rsv","Ssynth","Ycons",-0.0595001037012341,-0.112205875286918,-0.00679433211555047,0.680857674759968,0.598612611262909,0.763102738257028
"rsv","Sreal","Y05k",-0.00677260442741166,-0.0231891463766336,0.00964393752181033,1.69949681391248,1.36586602524342,2.03312760258154
"rsv","Ssynth","Y05k",-0.0209205644337116,-0.0404431850777913,-0.00139794378963202,1.70770259153635,1.40478404581011,2.01062113726258
"rsv","Sreal","Y10k",-0.0230879113491266,-0.0511432302145344,0.00496740751628124,0.705292319504735,0.602872864303482,0.807711774705988
"rsv","Ssynth","Y10k",-0.0280709444036792,-0.0642969994736287,0.00815511066627032,0.70639706852241,0.622334983315226,0.790459153729594
