"S","Y","H"
"Ssynth",0.65,0.995573415168519
"Ssynth",0.9,1.73550854331557
"Ssynth",0.83,1.63565993124264
"Ssynth",0.81,1.39419410133672
"Ssynth",0.7,1.27378111588642
"Ssynth",0.09,-0.896755056523468
"Ssynth",0.24,-0.329541791591815
"Ssynth",0.67,1.16445452716787
"Ssynth",0.17,-0.639878569081628
"Ssynth",0.75,1.33628560018377
"Ssynth",0.3,-0.151858590023629
"Ssynth",0.87,1.53034839894091
"Ssynth",0.26,-0.251789173794509
"Ssynth",0.26,-0.289380888163187
"Ssynth",0.14,-0.72618100330344
"Ssynth",0.11,-0.761831265036387
"Ssynth",0.24,-0.317152006499109
"Ssynth",0.84,1.58152845193321
"Ssynth",0.3,-0.136923789662363
"Ssynth",0.24,-0.314750596059656
"Ssynth",0.92,1.85738158097128
"Ssynth",0.16,-0.612507028953847
"Ssynth",0.19,-0.465555097843243
"Ssynth",0.94,1.73375522053556
"Ssynth",0.88,1.62250834146847
"Ssynth",0.13,-0.631752822902621
"Ssynth",0.27,-0.238492607518171
"Ssynth",0.11,-0.713670387342568
"Ssynth",0.18,-0.556619843330951
"Ssynth",0.85,1.70289545400786
"Ssynth",0.13,-0.594721503848505
"Ssynth",0.2,-0.419901304261322
"Ssynth",0.17,-0.557938011584783
"Ssynth",0.21,-0.436286249374242
"Ssynth",0.1,-0.808316231245374
"Ssynth",0.16,-0.625663927714172
"Ssynth",0.15,-0.663447382872749
"Ssynth",0.15,-0.720789178509551
"Ssynth",0.07,-0.791431915635913
"Ssynth",0.22,-0.40436255490643
"Ssynth",0.22,-0.422935956334429
"Ssynth",0.07,-1.08305249338514
"Ssynth",0.07,-0.985746965951095
"Ssynth",0.07,-0.826235181927124
"Ssynth",0.04,-0.989040640437053
"Ssynth",0.81,1.39521581792834
"Ssynth",0.68,0.904924233553882
"Ssynth",0.2,-0.519517753629433
"Ssynth",0.16,-0.612217254487538
"Ssynth",0.8,1.50109793825274
"Ssynth",0.05,-0.901408440852511
"Ssynth",0.21,-0.439967080469284
"Ssynth",0.68,1.09304788780354
"Ssynth",0.08,-1.10757562392055
"Ssynth",0.78,1.41958757968462
"Ssynth",0.36,0.0472261063115109
"Ssynth",0.13,-0.731109207024872
"Ssynth",0.15,-0.626535178367797
"Ssynth",0.1,-0.816726100261314
"Ssynth",0.92,2.12632754932683
"Ssynth",0.86,2.11083236995231
"Ssynth",0.75,1.38193407005722
"Ssynth",0.9,2.27299455995547
"Ssynth",0.2,-0.485185063444956
"Ssynth",0.88,1.9556925454177
"Ssynth",0.81,1.55103050835323
"Ssynth",0.32,-0.0863279249317132
"Ssynth",0.16,-0.623510152145181
"Ssynth",0.79,1.48839398339419
"Ssynth",0.19,-0.451109117630092
"Ssynth",0.14,-0.640467184986239
"Ssynth",0.12,-0.788658437445089
"Ssynth",0.77,1.21326218141248
"Ssynth",0.1,-0.785577611461374
"Ssynth",0.73,1.10706536180444
"Ssynth",0.79,1.71114421312473
"Ssynth",0.11,-0.79251424079466
"Ssynth",0.09,-0.943094371107583
"Ssynth",0.82,1.65982993428336
"Ssynth",0.24,-0.347068017215508
"Ssynth",0.05,-1.19955962302105
"Ssynth",0.09,-0.722667394550823
"Ssynth",0.84,1.6726094544561
"Ssynth",0.11,-0.85020290308692
"Ssynth",0.13,-0.703190099561478
"Ssynth",0.74,1.2480947606076
"Ssynth",0.83,1.50111920822453
"Ssynth",0.16,-0.684952256482907
"Ssynth",0.23,-0.382733993399808
"Ssynth",0.16,-0.648802470695953
"Ssynth",0.2,-0.443730876276045
"Ssynth",0.15,-0.670068536705567
"Ssynth",0.18,-0.584818096752168
"Ssynth",0.12,-0.721861084272784
"Ssynth",0.05,-0.827257850898505
"Ssynth",0.1,-0.756878465465142
"Ssynth",0.11,-0.898798474933052
"Ssynth",0.12,-0.757387617115372
"Ssynth",0.18,-0.62314964308373
"Ssynth",0.18,-0.567530668142489
"Ssynth",0.12,-0.78058233576944
"Ssynth",0.19,-0.544002951508752
"Ssynth",0.24,-0.349875301698471
"Ssynth",0.76,1.38570991254001
"Ssynth",0.1,-0.808316231245374
"Ssynth",0.18,-0.567530668142489
"Ssynth",0.25,-0.337779260255747
"Ssynth",0.26,-0.284507325048378
"Ssynth",0.76,1.46588046630001
"Ssynth",0.8,1.33826629346971
"Ssynth",0.71,1.16645512299523
"Ssynth",0.91,1.73068332766118
"Ssynth",0.7,1.03292819322485
"Ssynth",0.84,1.70736853162289
"Ssynth",0.81,1.51739869680327
"Ssynth",0.1,-0.7781310805563
"Ssynth",0.11,-0.75365094687046
"Ssynth",0.8,1.3388353789408
"Ssynth",0.87,1.85251254450775
"Ssynth",0.09,-0.832999719366925
"Ssynth",0.82,1.41177737742083
"Ssynth",0.12,-0.749982394773866
"Ssynth",0.79,1.39159580764752
"Ssynth",0.11,-0.726478447282951
"Ssynth",0.14,-0.749630178162298
"Ssynth",0.72,1.17229408946364
"Ssynth",0.11,-0.815181846774123
"Ssynth",0.76,1.37029043185703
"Ssynth",0.78,1.36028836078884
"Ssynth",0.14,-0.652263674629477
"Ssynth",0.21,-0.452863551414053
"Ssynth",0.75,1.41406695433737
"Ssynth",0.1,-0.95933987444486
"Ssynth",0.12,-0.822846174956782
"Ssynth",0.79,1.57622430217997
"Ssynth",0.76,1.66476766580754
"Ssynth",0.8,1.70609525991517
"Ssynth",0.85,1.86920701837788
"Ssynth",0.37,0.0744660336870844
"Ssynth",0.88,2.00379681822335
"Ssynth",0.82,1.58431136555514
"Ssynth",0.82,1.54998696245691
"Ssynth",0.15,-0.728726724994613
"Ssynth",0.82,1.54998696245691
"Ssynth",0.87,1.59217272847587
"Ssynth",0.24,-0.356142331535716
"Ssynth",0.17,-0.55295590354307
"Ssynth",0.13,-0.716855071310321
"Ssynth",0.15,-0.720789178509551
"Ssynth",0.86,2.05570670966395
"Ssynth",0.18,-0.551337012476176
"Ssynth",0.89,1.5725156915226
"Ssynth",0.15,-0.604320876984306
"Ssynth",0.14,-0.548534335732084
"Ssynth",0.86,1.31365437068402
"Ssynth",0.75,1.16792342721578
"Ssynth",0.14,-0.652263674629477
"Ssynth",0.9,1.77219492736973
"Ssynth",0.13,-0.731109207024872
"Ssynth",0.11,-0.689467535364104
"Ssynth",0.1,-0.858639312689257
"Ssynth",0.19,-0.49953580157431
"Ssynth",0.8,1.4688450959788
"Ssynth",0.81,1.51739869680327
"Ssynth",0.14,-0.658303202522676
"Ssynth",0.65,1.14616257727494
"Ssynth",0.16,-0.61786403064518
"Ssynth",0.94,1.32840093573219
"Ssynth",0.69,1.19107186629793
"Ssynth",0.72,1.13633452248735
"Ssynth",0.05,-0.972412937722946
"Ssynth",0.74,1.31783892253154
"Ssynth",0.78,1.53625807296095
"Ssynth",0.17,-0.607714077134754
"Ssynth",0.1,-0.636597708403493
"Ssynth",0.89,1.74033016932364
"Ssynth",0.04,-1.12375099283603
"Ssynth",0.8,1.84831624384023
"Ssynth",0.16,-0.683772909605921
"Ssynth",0.67,1.2852749699156
"Ssynth",0.17,-0.607714077134754
"Ssynth",0.72,1.29448619376929
"Ssynth",0.74,1.28906457402798
"Ssynth",0.77,1.30169061713043
"Ssynth",0.82,1.53335799174596
"Ssynth",0.88,1.88760707395905
"Ssynth",0.88,1.54454477801622
"Ssynth",0.76,1.29765210676691
"Ssynth",0.79,1.75557929100063
"Ssynth",0.12,-0.702220878111854
"Ssynth",0.83,1.38640630173633
"Ssynth",0.64,0.901958665698283
"Ssynth",0.77,1.69938269825369
"Ssynth",0.82,1.8729045772768
