"estimator","S","Y","coef","lci","uci","denominator_coef","denominator_lci","denominator_uci"
"benchmark",NA,"Ycons",-0.0743854084060271,-0.148453671441531,-0.000317145370523061,NA,NA,NA
"benchmark",NA,"Y05k",-0.0233546552452952,-0.0482790836383435,0.00156977314775311,NA,NA,NA
"benchmark",NA,"Y10k",-0.0389646005023635,-0.0845287130058994,0.00659951200117243,NA,NA,NA
"rsv","Sreal","Ycons",-0.0312205618312691,-0.066272471476953,0.00383134781441475,0.727807379363978,0.621174722885696,0.834440035842261
"rsv","Ssynth","Ycons",-0.0578811329648267,-0.107549252348341,-0.00821301358131275,0.681296399176208,0.59680677742777,0.765786020924646
"rsv","Sreal","Y05k",-0.00608843662589717,-0.0226870555024218,0.0105101822506274,1.69125744126112,1.35686196510028,2.02565291742195
"rsv","Ssynth","Y05k",-0.0216112899532102,-0.0399296972183907,-0.00329288268802973,1.71954830802779,1.41183296389743,2.02726365215815
"rsv","Sreal","Y10k",-0.0246914264822955,-0.0523467795405757,0.00296392657598473,0.706022252274908,0.601826890437419,0.810217614112398
"rsv","Ssynth","Y10k",-0.0264843661812735,-0.0613129476755888,0.00834421531304192,0.706008429629369,0.618183412051204,0.793833447207534
