"shrid2","lat","lon","d_name","sd_name","y_cons","y_05k","y_10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04306-568998",19.615,78.585,"Adilabad","Adilabad",0,0,0,"Holdout",NA,-28.3928153439094,-0.586667273946705
"11-28-532-04306-568999",19.635,78.595,"Adilabad","Adilabad",0,0,0,"Holdout",NA,-3.02947335230422,-0.0625965707015301
"11-28-532-04306-569000",19.605,78.605,"Adilabad","Adilabad",1,1,1,"Holdout",NA,19.8849396578831,0.410873074768453
"11-28-532-04306-569001",19.605,78.565,"Adilabad","Adilabad",0,0,0,"Holdout",NA,26.6023098526086,0.54967090839279
"11-28-532-04306-569002",19.565,78.445,"Adilabad","Adilabad",0,0,0,"Holdout",NA,16.9328241448831,0.349874912402035
"11-28-532-04306-569003",19.585,78.525,"Adilabad","Adilabad",1,0,0,"Holdout",NA,-32.0468487601141,-0.662168832958352
"11-28-532-04306-569004",19.575,78.555,"Adilabad","Adilabad",0,0,0,"Holdout",NA,5.87671810339388,0.121427838265108
"11-28-532-04306-569005",19.585,78.575,"Adilabad","Adilabad",1,1,1,"Holdout",NA,37.2196079484847,0.769051102119275
"11-28-532-04306-569006",19.565,78.615,"Adilabad","Adilabad",0,1,1,"Holdout",NA,33.3824813807476,0.689766376176601
"11-28-532-04306-569007",19.595,78.645,"Adilabad","Adilabad",0,0,1,"Holdout",NA,39.3866320117095,0.813827292305068
"11-28-532-04306-569008",19.615,78.625,"Adilabad","Adilabad",0,0,1,"Holdout",NA,22.9820583059428,0.474867368125362
"11-28-532-04306-569009",19.705,78.545,"Adilabad","Adilabad",0,0,0,"Holdout",NA,-34.0789588762294,-0.704157360257975
"11-28-532-04306-569010",19.575,78.675,"Adilabad","Adilabad",1,0,0,"Holdout",NA,22.6732040480162,0.468485659113772
"11-28-532-04306-569011",19.605,78.715,"Adilabad","Adilabad",1,1,1,"Holdout",NA,23.2811309414695,0.481046964113688
"11-28-532-04306-569012",19.585,78.735,"Adilabad","Adilabad",1,0,1,"Holdout",NA,-5.6366456930919,-0.116467335940993
"11-28-532-04306-569013",19.575,78.775,"Adilabad","Adilabad",1,0,1,"Holdout",NA,33.9676508459468,0.70185745523259
"11-28-532-04306-569014",19.565,78.735,"Adilabad","Adilabad",0,1,1,"Holdout",NA,35.2308913186205,0.72795919384026
"11-28-532-04306-569015",19.575,78.705,"Adilabad","Adilabad",1,1,1,"Holdout",NA,-2.33832583414415,-0.0483157174130246
"11-28-532-04306-569016",19.545,78.715,"Adilabad","Adilabad",1,1,1,"Holdout",NA,35.826796925676,0.740272108702217
"11-28-532-04307-569019",19.765,78.505,"Adilabad","Jainad",0,0,0,"Holdout",NA,5.27130534490647,0.108918481643291
"11-28-532-04307-569020",19.775,78.515,"Adilabad","Jainad",0,0,0,"Holdout",NA,63.9775110652222,1.32193696031557
"11-28-532-04307-569022",19.805,78.515,"Adilabad","Jainad",1,1,1,"Holdout",NA,51.8662530712836,1.07168778194752
"11-28-532-04307-569023",19.805,78.535,"Adilabad","Jainad",0,0,1,"Holdout",NA,75.9479554425953,1.56927657372628
"11-28-532-04307-569024",19.815,78.545,"Adilabad","Jainad",0,0,1,"Holdout",NA,68.9954934170629,1.42562114912916
"11-28-532-04307-569025",19.785,78.545,"Adilabad","Jainad",0,0,0,"Holdout",NA,33.8691637707771,0.699822463520462
"11-28-532-04307-569026",19.755,78.535,"Adilabad","Jainad",1,1,1,"Holdout",NA,66.0169832595398,1.36407760674453
"11-28-532-04307-569028",19.735,78.535,"Adilabad","Jainad",0,0,0,"Holdout",NA,5.15384059608156,0.106491363263404
"11-28-532-04307-569029",19.745,78.555,"Adilabad","Jainad",1,1,1,"Holdout",NA,48.6480868183171,1.00519233935521
"11-28-532-04307-569030",19.755,78.555,"Adilabad","Jainad",1,1,1,"Holdout",NA,59.4573150432921,1.22853829428793
"11-28-532-04307-569031",19.775,78.565,"Adilabad","Jainad",0,0,0,"Holdout",NA,19.2799293308627,0.398372033397125
"11-28-532-04307-569033",19.795,78.565,"Adilabad","Jainad",0,0,0,"Holdout",NA,42.4099408627248,0.876296488840895
"11-28-532-04307-569034",19.815,78.555,"Adilabad","Jainad",1,1,1,"Holdout",NA,68.23505834156,1.40990863991318
"11-28-532-04307-569035",19.805,78.575,"Adilabad","Jainad",0,0,1,"Holdout",NA,26.6574681277872,0.550810617665812
"11-28-532-04307-569036",19.805,78.595,"Adilabad","Jainad",0,0,0,"Holdout",NA,-17.4293335067954,-0.360134049804014
"11-28-532-04307-569038",19.775,78.595,"Adilabad","Jainad",0,0,0,"Holdout",NA,49.3693682980269,1.02009583639571
"11-28-532-04307-569040",19.765,78.585,"Adilabad","Jainad",1,1,1,"Holdout",NA,-5.90740415281798,-0.122061889546948
"11-28-532-04307-569041",19.755,78.575,"Adilabad","Jainad",0,1,1,"Holdout",NA,22.7378475389157,0.469821356899465
"11-28-532-04307-569042",19.745,78.575,"Adilabad","Jainad",0,0,0,"Holdout",NA,27.1352287207546,0.560682358149463
"11-28-532-04307-569044",19.725,78.585,"Adilabad","Jainad",1,0,0,"Holdout",NA,68.7306209861477,1.4201482157442
"11-28-532-04307-569045",19.725,78.605,"Adilabad","Jainad",1,0,0,"Holdout",NA,38.1987734378142,0.789283134110806
"11-28-532-04307-569046",19.745,78.595,"Adilabad","Jainad",0,0,0,"Holdout",NA,-4.28240958333138,-0.0884853976523748
"11-28-532-04307-569047",19.765,78.605,"Adilabad","Jainad",0,0,0,"Holdout",NA,26.6659562102296,0.550986002886587
"11-28-532-04307-569048",19.795,78.625,"Adilabad","Jainad",0,0,1,"Holdout",NA,57.2512333934698,1.18295507571912
"11-28-532-04307-569049",19.755,78.635,"Adilabad","Jainad",0,0,0,"Holdout",NA,73.9532481455089,1.52806088313242
"11-28-532-04307-569050",19.785,78.645,"Adilabad","Jainad",0,0,0,"Holdout",NA,72.5936754369824,1.49996867723517
"11-28-532-04307-569052",19.775,78.655,"Adilabad","Jainad",0,0,0,"Holdout",NA,73.1997100614485,1.51249088317869
"11-28-532-04307-569054",19.775,78.675,"Adilabad","Jainad",0,1,1,"Holdout",NA,53.3367449660624,1.10207185837042
"11-28-532-04307-569056",19.775,78.695,"Adilabad","Jainad",0,0,0,"Holdout",NA,48.195932495722,0.995849689088685
"11-28-532-04307-569057",19.745,78.685,"Adilabad","Jainad",0,0,1,"Holdout",NA,54.7883604064041,1.13206589957024
"11-28-532-04307-569058",19.745,78.705,"Adilabad","Jainad",0,0,0,"Holdout",NA,59.4890363944268,1.22919373751787
"11-28-532-04307-569059",19.735,78.695,"Adilabad","Jainad",0,0,1,"Holdout",NA,28.160494099337,0.581866930282917
"11-28-532-04307-569060",19.705,78.695,"Adilabad","Jainad",0,1,1,"Holdout",NA,30.3524081336172,0.627157410132867
"11-28-532-04307-569061",19.715,78.685,"Adilabad","Jainad",0,1,1,"Holdout",NA,30.2453413685268,0.6249451403581
"11-28-532-04307-569062",19.725,78.645,"Adilabad","Jainad",0,0,0,"Holdout",NA,-11.3915595854418,-0.235378391577015
"11-28-532-04307-569063",19.715,78.605,"Adilabad","Jainad",0,0,0,"Holdout",NA,41.408705802468,0.85560844377506
"11-28-532-04307-569064",19.705,78.605,"Adilabad","Jainad",0,0,0,"Holdout",NA,60.1133905183599,1.24209447058814
"11-28-532-04307-569065",19.695,78.625,"Adilabad","Jainad",1,0,1,"Holdout",NA,9.06657230938617,0.187338282461984
"11-28-532-04307-569066",19.685,78.635,"Adilabad","Jainad",0,0,1,"Holdout",NA,30.8994661846895,0.638461011118743
"11-28-532-04307-569067",19.675,78.645,"Adilabad","Jainad",0,1,1,"Holdout",NA,24.040842095573,0.496744515285219
"11-28-532-04307-569068",19.695,78.655,"Adilabad","Jainad",0,0,0,"Holdout",NA,57.2625352045933,1.18318859968081
"11-28-532-04307-569069",19.685,78.675,"Adilabad","Jainad",0,0,0,"Holdout",NA,24.2109379182122,0.500259124575235
"11-28-532-04307-569070",19.655,78.705,"Adilabad","Jainad",1,0,0,"Holdout",NA,13.8160634643374,0.285474765046017
"11-28-532-04307-569071",19.665,78.665,"Adilabad","Jainad",1,1,1,"Holdout",NA,35.9915940852033,0.743677234230032
"11-28-532-04307-569072",19.635,78.665,"Adilabad","Jainad",1,0,1,"Holdout",NA,-32.972996884682,-0.681305392293165
"11-28-532-04308-569074",19.765,78.735,"Adilabad","Bela",1,0,0,"Holdout",NA,75.1115301616076,1.551993914944
"11-28-532-04308-569075",19.765,78.755,"Adilabad","Bela",1,1,1,"Holdout",NA,46.0116379449083,0.950716647010932
"11-28-532-04308-569076",19.755,78.775,"Adilabad","Bela",1,1,1,"Holdout",NA,60.2034761590962,1.24395586744619
