"S","Y","H"
"Ssynth",0.67,1.14761081016947
"Ssynth",0.82,1.32170629230892
"Ssynth",0.8,1.71760048012063
"Ssynth",0.78,1.29787390708781
"Ssynth",0.72,1.34220117406278
"Ssynth",0.12,-0.713555178399631
"Ssynth",0.24,-0.337843435061635
"Ssynth",0.79,1.47902990857966
"Ssynth",0.08,-0.977760024534638
"Ssynth",0.8,1.32154608610353
"Ssynth",0.23,-0.346153157117361
"Ssynth",0.84,1.39766505534004
"Ssynth",0.29,-0.169256182714341
"Ssynth",0.29,-0.185397841678151
"Ssynth",0.14,-0.879754135525177
"Ssynth",0.06,-0.938342070963836
"Ssynth",0.34,-0.0251240230549139
"Ssynth",0.82,1.4491714864749
"Ssynth",0.31,-0.11292541137007
"Ssynth",0.26,-0.261113543070323
"Ssynth",0.91,1.42092041363324
"Ssynth",0.1,-0.81516633876589
"Ssynth",0.19,-0.4673414212236
"Ssynth",0.92,1.65539757333444
"Ssynth",0.86,1.63832748768747
"Ssynth",0.15,-0.619621759139646
"Ssynth",0.24,-0.340677102112934
"Ssynth",0.14,-0.628261146527952
"Ssynth",0.17,-0.547111405503061
"Ssynth",0.76,1.30621401303376
"Ssynth",0.1,-0.77635715910173
"Ssynth",0.17,-0.542491735349481
"Ssynth",0.09,-0.758460744715831
"Ssynth",0.19,-0.465891690117704
"Ssynth",0.18,-0.54016937009354
"Ssynth",0.06,-0.931247693692352
"Ssynth",0.16,-0.674092117013256
"Ssynth",0.14,-0.740035816148469
"Ssynth",0.11,-0.745027385782044
"Ssynth",0.22,-0.374893854826273
"Ssynth",0.25,-0.33109503103123
"Ssynth",0.03,-1.17806121298398
"Ssynth",0.03,-1.05762000942126
"Ssynth",0.1,-0.729607472238179
"Ssynth",0.03,-0.934891733176812
"Ssynth",0.84,1.54316309028642
"Ssynth",0.8,1.0451134004981
"Ssynth",0.2,-0.509289782487952
"Ssynth",0.18,-0.666150693820025
"Ssynth",0.7,1.23363841488091
"Ssynth",0.02,-1.11146396017845
"Ssynth",0.17,-0.606038109055947
"Ssynth",0.73,1.38788391018315
"Ssynth",0.11,-0.96324828636897
"Ssynth",0.68,1.15082916919528
"Ssynth",0.26,-0.307704591638185
"Ssynth",0.09,-0.863898220246203
"Ssynth",0.09,-0.771871277673191
"Ssynth",0.04,-0.946854990724696
"Ssynth",0.91,2.03321056611664
"Ssynth",0.72,1.51110218517349
"Ssynth",0.73,1.26470045091666
"Ssynth",0.93,2.10131252379506
"Ssynth",0.22,-0.407385991360925
"Ssynth",0.8,1.61737418084879
"Ssynth",0.7,1.19219862592578
"Ssynth",0.25,-0.326479209907721
"Ssynth",0.17,-0.59470840676994
"Ssynth",0.76,1.30694936772503
"Ssynth",0.18,-0.489764980582681
"Ssynth",0.14,-0.602210542169319
"Ssynth",0.13,-0.708188084544655
"Ssynth",0.78,1.2510058633411
"Ssynth",0.07,-0.931372299991099
"Ssynth",0.81,1.18221583623868
"Ssynth",0.74,1.43856153802748
"Ssynth",0.14,-0.73224585398836
"Ssynth",0.12,-0.8486933188867
"Ssynth",0.79,1.65952483686802
"Ssynth",0.3,-0.144997801622875
"Ssynth",0.02,-1.31531430828816
"Ssynth",0.08,-0.774933049577613
"Ssynth",0.78,1.36953930089259
"Ssynth",0.2,-0.557436387047221
"Ssynth",0.2,-0.502872786726886
"Ssynth",0.81,1.4051003843653
"Ssynth",0.84,1.48111606073838
"Ssynth",0.11,-0.812591130964151
"Ssynth",0.24,-0.35906868567253
"Ssynth",0.15,-0.75048574259342
"Ssynth",0.15,-0.625309177229343
"Ssynth",0.21,-0.482417621316386
"Ssynth",0.17,-0.618280255696763
"Ssynth",0.11,-0.780994554396297
"Ssynth",0.14,-0.602210542169319
"Ssynth",0.16,-0.577821485108849
"Ssynth",0.09,-0.855372155809591
"Ssynth",0.1,-0.769317597009978
"Ssynth",0.13,-0.800473912169761
"Ssynth",0.12,-0.747991073789597
"Ssynth",0.19,-0.494251843121847
"Ssynth",0.25,-0.314254682599918
"Ssynth",0.15,-0.649026056541876
"Ssynth",0.79,1.6198451345468
"Ssynth",0.09,-0.949690591891111
"Ssynth",0.28,-0.246771398858378
"Ssynth",0.3,-0.164215532069792
"Ssynth",0.17,-0.561975971268421
"Ssynth",0.76,1.56744976213266
"Ssynth",0.71,1.1858995536464
"Ssynth",0.76,1.3936947474136
"Ssynth",0.82,1.39116866521893
"Ssynth",0.77,1.21039796306575
"Ssynth",0.83,1.66522787593089
"Ssynth",0.85,1.81842609559944
"Ssynth",0.11,-0.820925544217862
"Ssynth",0.1,-0.806172609271413
"Ssynth",0.77,1.23397310420252
"Ssynth",0.89,1.71569853746098
"Ssynth",0.1,-0.912371911210506
"Ssynth",0.87,1.68780972072601
"Ssynth",0.21,-0.451300198331772
"Ssynth",0.86,1.51032148077408
"Ssynth",0.07,-0.922131713766467
"Ssynth",0.11,-0.86551382704083
"Ssynth",0.73,1.23757990591101
"Ssynth",0.21,-0.49222964494022
"Ssynth",0.8,1.43259664254893
"Ssynth",0.68,1.11245150668419
"Ssynth",0.15,-0.759078534601331
"Ssynth",0.22,-0.393582842380173
"Ssynth",0.81,1.47971002160509
"Ssynth",0.11,-0.838157896242111
"Ssynth",0.13,-0.857162358670992
"Ssynth",0.79,1.79069753315002
"Ssynth",0.76,1.86707258895428
"Ssynth",0.81,1.54427373535507
"Ssynth",0.85,1.84034323422316
"Ssynth",0.25,-0.314254682599918
"Ssynth",0.8,1.56249636667585
"Ssynth",0.82,1.79261658729815
"Ssynth",0.86,1.91889270943982
"Ssynth",0.17,-0.688695086733992
"Ssynth",0.8,1.29637848551863
"Ssynth",0.9,1.64399049002381
"Ssynth",0.19,-0.570873034816951
"Ssynth",0.25,-0.337208050904717
"Ssynth",0.09,-0.929086644964555
"Ssynth",0.17,-0.644476646715931
"Ssynth",0.89,2.30958015162678
"Ssynth",0.24,-0.368835243929033
"Ssynth",0.88,1.53667738015986
"Ssynth",0.22,-0.4038705705506
"Ssynth",0.18,-0.483289499983374
"Ssynth",0.83,1.29043049467545
"Ssynth",0.87,1.67011585083155
"Ssynth",0.09,-0.800383720861196
"Ssynth",0.89,1.56774108528563
"Ssynth",0.21,-0.473037614746512
"Ssynth",0.06,-0.893622369063988
"Ssynth",0.09,-0.919137009618051
"Ssynth",0.17,-0.556959946825184
"Ssynth",0.71,1.1731452846597
"Ssynth",0.82,1.43539497303114
"Ssynth",0.11,-0.751932328111634
"Ssynth",0.71,1.29832205880338
"Ssynth",0.17,-0.612091773045439
"Ssynth",0.88,1.1762660943371
"Ssynth",0.68,1.22071683114394
"Ssynth",0.7,1.17897075258595
"Ssynth",0.1,-0.798499911105584
"Ssynth",0.78,1.46206605615654
"Ssynth",0.7,1.11682423225625
"Ssynth",0.13,-0.751280583391966
"Ssynth",0.14,-0.549733223332723
"Ssynth",0.88,1.61702756035373
"Ssynth",0.08,-0.931450944997942
"Ssynth",0.64,1.14783262324822
"Ssynth",0.18,-0.595113529984225
"Ssynth",0.73,1.53083845337746
"Ssynth",0.23,-0.403560969068807
"Ssynth",0.78,1.54653533535605
"Ssynth",0.73,1.3533411609286
"Ssynth",0.69,1.17174027684193
"Ssynth",0.87,1.65277737389135
"Ssynth",0.84,1.60851978854728
"Ssynth",0.89,1.75201242461376
"Ssynth",0.84,1.59145143165943
"Ssynth",0.81,1.67231149032848
"Ssynth",0.1,-0.776395889238195
"Ssynth",0.72,1.08789870655298
"Ssynth",0.75,1.30198546883235
"Ssynth",0.73,1.3533411609286
"Ssynth",0.82,1.96176078726382
"Ssynth",0.24,-0.362106293444299
"Ssynth",0.13,-0.701520263627791
"Ssynth",0.13,-0.837330300516537
"Ssynth",0.3,-0.145887592164094
"Ssynth",0.79,1.22105519189231
"Ssynth",0.9,1.61306859865485
"Ssynth",0.81,1.44872209294603
"Ssynth",0.9,1.84246385195286
"Ssynth",0.17,-0.546531138850543
"Ssynth",0.14,-0.59244289646504
"Ssynth",0.25,-0.306585620926104
"Ssynth",0.84,1.6437397421647
"Ssynth",0.93,1.78598785622647
"Ssynth",0.19,-0.559155955566266
"Ssynth",0.77,1.19893052221529
"Ssynth",0.12,-0.747991073789597
"Ssynth",0.18,-0.57164143898349
"Ssynth",0.83,1.7036858964054
"Ssynth",0.23,-0.403560969068807
"Ssynth",0.16,-0.553743196963929
"Ssynth",0.23,-0.378726495439713
"Ssynth",0.8,1.41752130326557
"Ssynth",0.79,1.15691060526657
"Ssynth",0.88,1.99291119233708
"Ssynth",0.86,1.5565090546934
"Ssynth",0.79,1.37209836753142
"Ssynth",0.16,-0.674092117013256
"Ssynth",0.15,-0.631026277864165
"Ssynth",0.82,1.5111031400215
"Ssynth",0.81,1.73367811130529
"Ssynth",0.89,1.80936239945767
"Ssynth",0.83,1.39556304948752
"Ssynth",0.85,1.52624017113671
"Ssynth",0.22,-0.390485844510561
"Ssynth",0.18,-0.487177398004715
"Ssynth",0.22,-0.345880553040867
"Ssynth",0.88,1.56992789237394
"Ssynth",0.79,1.46185652736901
"Ssynth",0.9,2.14494489709353
"Ssynth",0.85,1.64097725144033
"Ssynth",0.94,1.98083229805757
"Ssynth",0.81,1.47927931747288
"Ssynth",0.84,1.45225468702499
"Ssynth",0.81,1.4051003843653
"Ssynth",0.83,1.7036858964054
"Ssynth",0.67,1.21379396563356
"Ssynth",0.83,1.62841459748111
"Ssynth",0.91,2.12970120546554
"Ssynth",0.95,2.00785586692515
"Ssynth",0.83,1.51110321449553
"Ssynth",0.81,1.24203212346287
"Ssynth",0.81,1.7995620969031
"Ssynth",0.25,-0.306585620926104
"Ssynth",0.84,1.42445692912032
"Ssynth",0.81,1.73367811130529
"Ssynth",0.9,1.84246385195286
"Ssynth",0.87,1.63578368891925
"Ssynth",0.71,1.25385730299057
"Ssynth",0.82,1.98848397925778
"Ssynth",0.83,1.85296767100816
"Ssynth",0.81,2.02992541357882
"Ssynth",0.88,1.94557597271024
"Ssynth",0.24,-0.480973009916476
"Ssynth",0.83,1.49566494845784
"Ssynth",0.83,1.87638622504986
"Ssynth",0.84,1.7917643144905
"Ssynth",0.73,1.17344260973073
"Ssynth",0.85,1.58982843590776
"Ssynth",0.83,1.90038639258076
"Ssynth",0.78,1.62243373421877
"Ssynth",0.22,-0.496417291938417
"Ssynth",0.8,1.54499482212795
"Ssynth",0.8,1.71760048012063
"Ssynth",0.07,-0.870542467729391
"Ssynth",0.08,-0.808300630870618
"Ssynth",0.85,1.48168208781507
"Ssynth",0.79,1.58195915559268
"Ssynth",0.9,1.69441852908266
"Ssynth",0.85,1.60747419590749
"Ssynth",0.69,1.13311166970417
"Ssynth",0.78,1.2510058633411
"Ssynth",0.11,-0.789091578068665
"Ssynth",0.71,1.30231647921153
"Ssynth",0.73,1.26550287124241
"Ssynth",0.83,1.90038639258076
"Ssynth",0.82,1.85226944853771
"Ssynth",0.8,1.46287237486736
"Ssynth",0.75,1.28818721998728
"Ssynth",0.25,-0.306585620926104
"Ssynth",0.19,-0.498712931563218
