shrid2,state_name,district_name,subdistrict_name,clusters,wave,D,Ycons_raw,urban,tot_p,tot_f,Ylowinc_raw,Ymidinc_raw,Ylowinc,Ymidinc,Ycons
11-28-532-04306-568982,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,21175.814453125,0,1847,0.4975636166756903,0.3073170781135559,0.10487804561853409,0,0,0
11-28-532-04306-568983,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,23001.51953125,0,2495,0.48617234468937875,0.3170320391654968,0.09780775755643845,0,0,0
11-28-532-04306-568985,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,21543.005859375,0,1649,0.509399636143117,0.40281689167022705,0.0253521129488945,0,0,0
11-28-532-04306-568987,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,21867.58203125,0,859,0.4970896391152503,0.6285714507102966,0.0057142856530845165,0,0,0
11-28-532-04306-568989,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,19579.673828125,0,521,0.5047984644913628,0.024193547666072845,0,0,1,0
11-28-532-04306-568990,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,19351.080078125,0,1583,0.4838913455464308,0.11734694242477417,0.01785714365541935,0,0,0
11-28-532-04306-568991,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,24478.20703125,0,239,0.47280334728033474,0,0,1,1,0
11-28-532-04306-568992,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,20617.69921875,0,3177,0.511488825936418,0.0024844720028340816,0,0,1,0
11-28-532-04306-568993,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,21592.677734375,0,1827,0.4827586206896552,0.1081530749797821,0,0,1,0
11-28-532-04306-568994,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,26131.853515625,0,5047,0.488607093322766,0.1510263979434967,0.05791788920760155,0,0,0
11-28-532-04306-568995,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,19892.98046875,0,7323,0.49993172197186947,0.029028436169028282,0.010071090422570705,0,0,0
11-28-532-04306-568996,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,18345.552734375,0,1112,0.4910071942446043,0.012195121496915817,0.004065040498971939,0,0,1
11-28-532-04306-568997,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,18038.021484375,0,1821,0.49807797913234486,0.029147982597351074,0.0022421525791287422,0,0,1
