"estimator","sample","S","Y","coef","se","lci","uci"
"benchmark","full",NA,"Ycons",-0.0746084493662126,0.0447479010808268,-0.148212196757476,-0.00100470197494897
"rsv","full","realS","Ycons",-0.0127124804342246,0.0099492896445583,-0.029077605591667,0.00365264472321787
"rsv","full","synthS","Ycons",-0.033996869478097,0.0182328342338292,-0.063987212997216,-0.00400652595897804
"benchmark","full",NA,"Ylowinc",-0.0234859433491114,0.0151509609066424,-0.0484070563482021,0.00143516964997921
"rsv","full","realS","Ylowinc",-0.0035691604052032,0.00429351492135731,-0.010631363995968,0.00349304318556163
"rsv","full","synthS","Ylowinc",-0.0110267892905537,0.00655957856535206,-0.0218163358850462,-0.000237242696061211
"benchmark","full",NA,"Ymidinc",-0.0397284529391391,0.0277287728672197,-0.0853382255606991,0.00588131968242086
"rsv","full","realS","Ymidinc",-0.0094551832554978,0.00684123539703679,-0.0207080141111426,0.00179764760014695
"rsv","full","synthS","Ymidinc",-0.0170500010894966,0.0117474363309691,-0.0363728143458727,0.00227281216687952
"benchmark","GATE",NA,"Ycons",-0.179283683124465,0.0467906393391849,-0.256247435948902,-0.102319930300029
"rsv","GATE","realS","Ycons",-0.0520757078453552,0.0393902856998905,-0.116866962145475,0.0127155464547645
"rsv","GATE","synthS","Ycons",-0.0698475658955648,0.0346711876607972,-0.126876594670142,-0.0128185371209874
"benchmark","GATE",NA,"Ylowinc",-0.0500512733403795,0.0177487455694127,-0.0792453618640668,-0.0208571848166922
"rsv","GATE","realS","Ylowinc",-0.026723406345044,0.0188561922500626,-0.0577390825580537,0.0042922698679657
"rsv","GATE","synthS","Ylowinc",-0.0186933535063469,0.0175423384758047,-0.0475479325734847,0.0101612255607909
"benchmark","GATE",NA,"Ymidinc",-0.0268398636066234,0.0429193215154576,-0.0974358652676203,0.0437561380543734
"rsv","GATE","realS","Ymidinc",-0.0573828881887653,0.0276094736527601,-0.102796431064729,-0.0119693453128017
"rsv","GATE","synthS","Ymidinc",-0.0603965015341739,0.0266021409560987,-0.104153129570487,-0.0166398734978607
