"pc11_tv_id","village_id","district","R_bal","R_max","R_prob","Y","Y_recon","S","D","rabovemed","baseline_complete","listing_not_complete","vill_added_back"
"035837",1007,"Bathinda",1,0,0.37251752614975,NA,1,"o",1,0,0,1,0
"035837",1007,"Bathinda",0,0,0.273849904537201,NA,NA,"e",1,0,0,1,0
"035837",1007,"Bathinda",0,0,0.314244866371155,NA,NA,"e",1,0,0,1,0
"035837",1007,"Bathinda",1,0,0.423180282115936,0,0,"o",1,0,0,1,0
"035837",1007,"Bathinda",1,0,0.431453347206116,0,0,"o",1,0,0,1,0
"035676",1008,"Bathinda",0,0,0.306207954883575,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,1,0.607909977436066,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,0,0.360081553459167,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.211289167404175,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.286756217479706,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.302774667739868,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,0,0.374016642570496,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.216042876243591,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,0,0.365329921245575,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.212371706962585,1,1,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,1,0.459677636623383,1,1,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.299594521522522,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.272508680820465,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,0,0.416161239147186,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,1,0.540934681892395,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",1,0,0.379483044147491,NA,NA,"e",1,1,0,0,0
"035676",1008,"Bathinda",0,0,0.270531296730042,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.227690815925598,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.317786455154419,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,0,0.361367762088776,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.511063814163208,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.272574841976166,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.31915271282196,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.519789338111877,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.541389107704163,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,0,0.352908790111542,1,1,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.569257855415344,1,1,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.511008501052856,1,1,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.61674576997757,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.481183052062988,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.522489070892334,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,0,0.402897357940674,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.280750632286072,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,1,0.483060359954834,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.162198424339294,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.318809509277344,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",1,0,0.373467206954956,NA,NA,"e",1,1,0,0,0
"035761",1013,"Bathinda",0,0,0.33971905708313,NA,NA,"e",1,1,0,0,0
"035694",1015,"Bathinda",0,0,0.0666854977607727,NA,NA,"e",1,1,1,0,0
"035694",1015,"Bathinda",0,0,0.222050905227661,NA,NA,"e",1,1,1,0,0
"035694",1015,"Bathinda",0,0,0.314528107643127,NA,NA,"e",1,1,1,0,0
"035694",1015,"Bathinda",1,1,0.549119830131531,NA,1,"o",1,1,1,0,0
"035694",1015,"Bathinda",1,0,0.395154774188995,0,0,"o",1,1,1,0,0
"035694",1015,"Bathinda",1,0,0.350217282772064,NA,NA,"e",1,1,1,0,0
"035694",1015,"Bathinda",0,0,0.306544601917267,NA,NA,"e",1,1,1,0,0
"035694",1015,"Bathinda",0,0,0.291029036045074,1,1,"e",1,1,1,0,0
"035694",1015,"Bathinda",1,1,0.568795323371887,NA,0,"o",1,1,1,0,0
"035694",1015,"Bathinda",1,1,0.697748780250549,1,1,"o",1,1,1,0,0
"035694",1015,"Bathinda",1,1,0.457252740859985,1,1,"e",1,1,1,0,0
