"sample","R_var","coef","se"
"obs","R_max",0.075208826439243,0.0379626076540053
"obs","R_bal",0.067407838766369,0.0463893361828775
"obs","R_prob",0.0295869952326478,0.0173327621318877
"val","R_max",0.0588403653545994,0.0319903974699785
"val","R_bal",0.061418042316567,0.0400945447738718
"val","R_prob",0.025926271142784,0.0156074537955366
